Genus,Species,Specimen Number,Sex,Side,Ordered,GenusColor,Locomotion
Homo,H_sapiens,1283,?,R,1283,Green,Bipedal
Gorilla,G_gorilla_gorilla,126045,m,R,126045,Red,Knuckle_walking
Pan,P_t_ssp,127419,?,R,127419,Blue,Knuckle_walking
Gorilla,G_gorilla_gorilla,134482,m,R,134482,Red,Knuckle_walking
Gorilla,G_gorilla_gorilla,135290,m,R,135290,Red,Knuckle_walking
Homo,H_sapiens,135456,m,R,135456,Green,Bipedal
Pan,P_t_ssp,137078,f,R,137078,Blue,Knuckle_walking
Pan,P_t_ssp,137079,f,R,137079,Blue,Knuckle_walking
Pongo,P_p_ssp,153717,m,R,153717,Yellow,Suspensory
Pongo,P_p_ssp,153732,m,R,153732,Yellow,Suspensory
Pongo,P_p_ssp,153744,?,R,153744,Yellow,Suspensory
Pongo,P_p_ssp,153745,m,R,153745,Yellow,Suspensory
Gorilla,G_gorilla_gorilla,153779,f,R,153779,Red,Knuckle_walking
Pongo,P_p_ssp,168868,m,R,168868,Yellow,Suspensory
Pan,P_t_ssp,180116,m,R,180116,Blue,Knuckle_walking
Gorilla,G_gorilla_gorilla,180665,f,R,180665,Red,Knuckle_walking
Gorilla,G_gorilla_gorilla,18397,f,R,183970,Red,Knuckle_walking
Gorilla,G_gorilla_gorilla,231576,f,R,231576,Red,Knuckle_walking
Pan,P_t_ssp,27542,f,R,275420,Blue,Knuckle_walking
Pan,P_t_ssp,27552,f,R,275520,Blue,Knuckle_walking
Pongo,P_t_ssp,44388,f,R,443880,Yellow,Suspensory
Pan,P_t_ssp,44866,m,R,448660,Blue,Knuckle_walking
Hylobates,H_concolor_gabriellae,46495,f,R,464950,Magenta,Brachiation
Hylobates,H_concolor_gabriellae,46496,m,R,464960,Magenta,Brachiation
Hylobates,H_concolor_gabriellae,46497,m,R,464970,Magenta,Brachiation
Hylobates,H_concolor_gabriellae,46498,m,R,464980,Magenta,Brachiation
Hylobates,H_concolor_gabriellae,46501,f,R,465010,Magenta,Brachiation
Hylobates,H_concolor_gabriellae,46506,f,R,465060,Magenta,Brachiation
Hylobates,H_concolor_gabriellae,46508,m,R,465080,Magenta,Brachiation
Pan,P_t_ssp,47321,m,R,473210,Blue,Knuckle_walking
Homo,H_sapiens,48193,m,R,481930,Green,Bipedal
Pan,P_t_ssp,51319,m,R,513190,Blue,Knuckle_walking
Gorilla,G_gorilla_gorilla,57131,f,R,571310,Red,Knuckle_walking
Pongo,P_p_ssp,57231,m,R,572310,Yellow,Suspensory
