gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,6.50581
KLHL17,ENST00000338591,0.548473
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,0.424385
AGRN,ENST00000379370,5.374594
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.631919
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0.011111
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,5.790367
B3GALT6,ENST00000379198,1.700694
FAM132A,ENST00000330388,0.011016
UBE2J2,ENST00000349431,1.078929
SCNN1D,ENST00000379116,0.021294
ACAP3,ENST00000354700,0.709556
PUSL1,ENST00000379031,1.98717
CPSF3L,ENST00000435064,1.069924
GLTPD1,ENST00000343938,0.776187
TAS1R3,ENST00000339381,0.034148
DVL1,ENST00000378888,0.172076
MXRA8,ENST00000309212,0.065993
CCNL2,ENST00000400809,0.330471
MRPL20,ENST00000344843,11.657922
VWA1,ENST00000476993,0.085988
ATAD3A,ENST00000378756,2.456627
TMEM240,ENST00000378733,0.18229
SSU72,ENST00000291386,8.685106
C1orf233,ENST00000422725,0.119095
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.432763
CDK11A,ENST00000404249,0.267185
NADK,ENST00000341426,0.175741
GNB1,ENST00000378609,11.286471
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,1.562809
SKI,ENST00000378536,1.357207
MORN1,ENST00000378531,0.027345
RER1,ENST00000605895,3.395702
PEX10,ENST00000447513,1.65753
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,1.131991
HES5,ENST00000378453,0.578858
FAM213B,ENST00000419916,0.745017
MMEL1,ENST00000378412,0.009331
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.016809
ARHGEF16,ENST00000378378,0.0081
MEGF6,ENST00000356575,4.14e-4
TPRG1L,ENST00000378344,0.560334
WRAP73,ENST00000270708,0.739508
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.480294
CEP104,ENST00000378230,0.207932
DFFB,ENST00000378209,0.415117
C1orf174,ENST00000361605,2.63111
AJAP1,ENST00000378191,2.52e-4
NPHP4,ENST00000378156,0.256801
CHD5,ENST00000262450,0.003723
RPL22,ENST00000234875,23.784899
RNF207,ENST00000377939,0.08375
ICMT,ENST00000343813,2.296237
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.297562
ACOT7,ENST00000361521,0.057323
HES2,ENST00000377834,0.005194
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,1.183999
TAS1R1,ENST00000333172,0.002476
ZBTB48,ENST00000377674,0.352517
KLHL21,ENST00000377658,0.898392
PHF13,ENST00000377648,0.946988
DNAJC11,ENST00000377577,2.422761
CAMTA1,ENST00000303635,0.071241
VAMP3,ENST00000054666,3.774034
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,3.97376
ERRFI1,ENST00000377482,2.972731
SLC45A1,ENST00000471889,0.186747
RERE,ENST00000400908,0.59505
ENO1,ENST00000234590,204.442179
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.005433
GPR157,ENST00000377411,0.073027
H6PD,ENST00000377403,0.639779
SPSB1,ENST00000328089,0.104987
SLC25A33,ENST00000302692,0.603525
TMEM201,ENST00000340381,0.314773
PIK3CD,ENST00000377346,0.043827
CLSTN1,ENST00000377298,0.495175
CTNNBIP1,ENST00000377263,2.157037
LZIC,ENST00000377223,1.49991
NMNAT1,ENST00000377205,0.187694
RBP7,ENST00000294435,0.015837
UBE4B,ENST00000343090,0.76437600000000006
PGD,ENST00000270776,14.387776
APITD1,ENST00000309048,0.671622
CORT,ENST00000377049,0.027527
DFFA,ENST00000377038,1.741794
PEX14,ENST00000356607,1.108537
CASZ1,ENST00000377022,0.021617
TARDBP,ENST00000240185,2.057924
MASP2,ENST00000400897,0.063435
SRM,ENST00000376957,7.155074
EXOSC10,ENST00000376936,4.460346
MTOR,ENST00000361445,2.001604
ANGPTL7,ENST00000376819,0.013568
UBIAD1,ENST00000376810,0.806067
PTCHD2,ENST00000294484,0.07425
FBXO2,ENST00000354287,0.108998
FBXO44,ENST00000251547,0.065356
FBXO6,ENST00000376753,0.273557
MAD2L2,ENST00000376692,8.139783
DRAXIN,ENST00000294485,3.766494
AGTRAP,ENST00000314340,1.170479
MTHFR,ENST00000376590,0.018126
CLCN6,ENST00000346436,0.844638
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,2.202733
PLOD1,ENST00000196061,5.335443
MFN2,ENST00000235329,3.223006
MIIP,ENST00000235332,1.700358
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,3.048294
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0.001552
KAZN,ENST00000376030,0.116938
TMEM51,ENST00000376008,0.175299
EFHD2,ENST00000375980,3.381898
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.054419
DNAJC16,ENST00000375847,0.565791
AGMAT,ENST00000375826,0.063816
DDI2,ENST00000480945,0.622961
PLEKHM2,ENST00000375799,1.083521
SLC25A34,ENST00000294454,0.0011
TMEM82,ENST00000375782,0
