gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,4.670478
KLHL17,ENST00000338591,0.477366
PLEKHN1,ENST00000379410,0.00123
HES4,ENST00000304952,0.415521
AGRN,ENST00000379370,4.909784
RNF223,ENST00000453464,0.00218
C1orf159,ENST00000421241,0
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,5.638423
B3GALT6,ENST00000379198,1.84458
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,1.279508
SCNN1D,ENST00000379116,0.115473
ACAP3,ENST00000354700,3.698997
PUSL1,ENST00000379031,2.608531
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.89320600000000006
TAS1R3,ENST00000339381,0.078095
DVL1,ENST00000378888,0.075145
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.467243
MRPL20,ENST00000344843,9.481879
VWA1,ENST00000476993,0.156769
ATAD3A,ENST00000378756,0
TMEM240,ENST00000378733,0.147547
SSU72,ENST00000291386,5.820755
C1orf233,ENST00000422725,1.339804
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,1.487425
CDK11A,ENST00000404249,0.214599
NADK,ENST00000341426,0
GNB1,ENST00000378609,15.715489
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.019254
GABRD,ENST00000378585,0.2521
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0
SKI,ENST00000378536,0.587956
MORN1,ENST00000378531,0.03972
RER1,ENST00000605895,3.941133
PEX10,ENST00000447513,0.604483
PLCH2,ENST00000378486,0.260773
PANK4,ENST00000378466,0.929675
HES5,ENST00000378453,0.354882
FAM213B,ENST00000419916,1.239345
MMEL1,ENST00000378412,0.485939
ACTRT2,ENST00000378404,0.003029
PRDM16,ENST00000270722,0.188219
ARHGEF16,ENST00000378378,0.066828
MEGF6,ENST00000356575,0.587559
TPRG1L,ENST00000378344,0.55357
WRAP73,ENST00000270708,0.486083
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.958579
CEP104,ENST00000378230,0.278992
DFFB,ENST00000378209,0.583656
C1orf174,ENST00000361605,1.873872
AJAP1,ENST00000378191,0.150743
NPHP4,ENST00000378156,0.372827
CHD5,ENST00000262450,0.55526
RPL22,ENST00000234875,10.687523
RNF207,ENST00000377939,0.114245
ICMT,ENST00000343813,1.478543
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.508551
ACOT7,ENST00000361521,0.086785
HES2,ENST00000377834,0.001794
TNFRSF25,ENST00000356876,0.045215
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,1.454695
TAS1R1,ENST00000333172,0.020463
ZBTB48,ENST00000377674,0.410936
KLHL21,ENST00000377658,0.832313
PHF13,ENST00000377648,0.918113
DNAJC11,ENST00000377577,1.919683
CAMTA1,ENST00000303635,0.206562
VAMP3,ENST00000054666,1.16486
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,3.351034
ERRFI1,ENST00000377482,1.028428
SLC45A1,ENST00000471889,0.146233
RERE,ENST00000400908,0.487354
ENO1,ENST00000234590,70.385126
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,9.38e-4
GPR157,ENST00000377411,0.026213
H6PD,ENST00000377403,0.280764
SPSB1,ENST00000328089,0.276199
SLC25A33,ENST00000302692,0.756231
TMEM201,ENST00000340381,0.119984
PIK3CD,ENST00000377346,0.056363
CLSTN1,ENST00000377298,0.410718
CTNNBIP1,ENST00000377263,1.870832
LZIC,ENST00000377223,1.604383
NMNAT1,ENST00000377205,0.406494
RBP7,ENST00000294435,0.038288
UBE4B,ENST00000343090,0.64847
PGD,ENST00000270776,10.231678
APITD1,ENST00000309048,0.45109900000000003
CORT,ENST00000377049,0.100106
DFFA,ENST00000377038,1.123939
PEX14,ENST00000356607,1.108885
CASZ1,ENST00000377022,0.001668
TARDBP,ENST00000240185,1.972049
MASP2,ENST00000400897,0.362188
SRM,ENST00000376957,3.867531
EXOSC10,ENST00000376936,4.740767
MTOR,ENST00000361445,2.114259
