gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,8.528053
KLHL17,ENST00000338591,0.792594
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,5.370777
AGRN,ENST00000379370,7.445426
RNF223,ENST00000453464,0.003874
C1orf159,ENST00000421241,0.709378
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.015485
SDF4,ENST00000360001,4.80054
B3GALT6,ENST00000379198,2.076762
FAM132A,ENST00000330388,0.09786
UBE2J2,ENST00000349431,1.733162
SCNN1D,ENST00000379116,0.140338
ACAP3,ENST00000354700,1.516093
PUSL1,ENST00000379031,1.86811
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,1.300503
TAS1R3,ENST00000339381,0.229966
DVL1,ENST00000378888,0.667546
MXRA8,ENST00000309212,0.838687
CCNL2,ENST00000400809,0.805886
MRPL20,ENST00000344843,14.16844
VWA1,ENST00000476993,0.132152
ATAD3A,ENST00000378756,4.254839
TMEM240,ENST00000378733,0.046739
SSU72,ENST00000291386,6.311462
C1orf233,ENST00000422725,0.583263
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.471224
CDK11A,ENST00000404249,1.101281
NADK,ENST00000341426,1.472846
GNB1,ENST00000378609,14.165053
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.087876
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0.06357
C1orf86,ENST00000378546,3.283012
SKI,ENST00000378536,0.995455
MORN1,ENST00000378531,0.516929
RER1,ENST00000605895,3.602223
PEX10,ENST00000447513,1.184558
PLCH2,ENST00000378486,0.06693
PANK4,ENST00000378466,2.063295
HES5,ENST00000378453,22.8748
FAM213B,ENST00000419916,0.648949
MMEL1,ENST00000378412,0.077982
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.044023
ARHGEF16,ENST00000378378,0.00608
MEGF6,ENST00000356575,1.152663
TPRG1L,ENST00000378344,0.867781
WRAP73,ENST00000270708,1.006074
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0.003409
LRRC47,ENST00000378251,3.039741
CEP104,ENST00000378230,0.571119
DFFB,ENST00000378209,0.876533
C1orf174,ENST00000361605,3.065502
AJAP1,ENST00000378191,5.4e-4
NPHP4,ENST00000378156,0.603874
CHD5,ENST00000262450,0.012192
RPL22,ENST00000234875,39.578621
RNF207,ENST00000377939,0.331488
ICMT,ENST00000343813,1.982453
HES3,ENST00000377898,0.166475
GPR153,ENST00000377893,4.772681
ACOT7,ENST00000361521,0.079702
HES2,ENST00000377834,0.001901
TNFRSF25,ENST00000356876,0.304269
PLEKHG5,ENST00000377728,0.026634
NOL9,ENST00000377705,2.433771
TAS1R1,ENST00000333172,0.12951
ZBTB48,ENST00000377674,0.223398
KLHL21,ENST00000377658,1.591327
PHF13,ENST00000377648,1.780813
DNAJC11,ENST00000377577,4.520174
CAMTA1,ENST00000303635,0.109129
VAMP3,ENST00000054666,2.335063
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,2.291819
ERRFI1,ENST00000377482,1.307557
SLC45A1,ENST00000471889,0.012443
RERE,ENST00000400908,0.291323
ENO1,ENST00000234590,160.067878
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.003334
GPR157,ENST00000377411,0.228963
H6PD,ENST00000377403,1.380452
SPSB1,ENST00000328089,0.115638
SLC25A33,ENST00000302692,1.321351
TMEM201,ENST00000340381,0.239117
PIK3CD,ENST00000377346,0.047033
CLSTN1,ENST00000377298,0.396931
CTNNBIP1,ENST00000377263,1.755295
LZIC,ENST00000377223,1.813759
NMNAT1,ENST00000377205,0.505697
RBP7,ENST00000294435,0.395915
UBE4B,ENST00000343090,1.471617
PGD,ENST00000270776,10.592875
APITD1,ENST00000309048,1.096718
CORT,ENST00000377049,0.116226
DFFA,ENST00000377038,3.072386
PEX14,ENST00000356607,1.846102
CASZ1,ENST00000377022,0.210665
TARDBP,ENST00000240185,0.464175
MASP2,ENST00000400897,0.170909
SRM,ENST00000376957,5.258038
EXOSC10,ENST00000376936,5.971452
MTOR,ENST00000361445,4.477484
ANGPTL7,ENST00000376819,0.025906
UBIAD1,ENST00000376810,1.13908
PTCHD2,ENST00000294484,0.317861
FBXO2,ENST00000354287,0.058227
FBXO44,ENST00000251547,0.456449
FBXO6,ENST00000376753,1.212928
MAD2L2,ENST00000376692,7.006454
DRAXIN,ENST00000294485,0.287596
AGTRAP,ENST00000314340,2.160057
MTHFR,ENST00000376590,0.186813
CLCN6,ENST00000346436,1.605398
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,2.356133
PLOD1,ENST00000196061,4.888924
MFN2,ENST00000235329,5.652266
MIIP,ENST00000235332,2.405064
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,0.016742
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0.01489
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0.003333
KAZN,ENST00000376030,0.332364
TMEM51,ENST00000376008,0.161459
EFHD2,ENST00000375980,0.803475
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.078775
DNAJC16,ENST00000375847,0.956999
AGMAT,ENST00000375826,0.04719
DDI2,ENST00000480945,0.929952
PLEKHM2,ENST00000375799,0
SLC25A34,ENST00000294454,0.073281
TMEM82,ENST00000375782,0
FBLIM1,ENST00000375766,0.682552
SPEN,ENST00000375759,0.958333
ZBTB17,ENST00000375743,1.978106
C1orf64,ENST00000329454,0
HSPB7,ENST00000311890,0
CLCNKA,ENST00000331433,0
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.120585
EPHA2,ENST00000358432,0.463844
ARHGEF19,ENST00000270747,0.284328
RSG1,ENST00000375599,0.396029
FBXO42,ENST00000375592,1.434717
SZRD1,ENST00000401088,0.687692
NECAP2,ENST00000337132,2.88342
CROCC,ENST00000375541,1.083396
MFAP2,ENST00000375535,0.555205
ATP13A2,ENST00000326735,1.74714
SDHB,ENST00000375499,4.463079
