gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,4.195556
KLHL17,ENST00000338591,0.528574
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,2.125148
AGRN,ENST00000379370,14.749015
RNF223,ENST00000453464,0.019613
C1orf159,ENST00000421241,0.676158
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,4.540514
B3GALT6,ENST00000379198,3.958969
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,1.236727
SCNN1D,ENST00000379116,0.188876
ACAP3,ENST00000354700,2.987731
PUSL1,ENST00000379031,1.895885
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,1.329826
TAS1R3,ENST00000339381,0.175657
DVL1,ENST00000378888,0.120939
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.767444
MRPL20,ENST00000344843,7.756198
VWA1,ENST00000476993,0.166804
ATAD3A,ENST00000378756,2.407262
TMEM240,ENST00000378733,0.045057
SSU72,ENST00000291386,6.398891
C1orf233,ENST00000422725,0.483559
MMP23B,ENST00000356026,0.065853
CDK11B,ENST00000341832,0.576838
CDK11A,ENST00000404249,0.315984
NADK,ENST00000341426,1.103787
GNB1,ENST00000378609,20.364871
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,5.679015
SKI,ENST00000378536,2.132928
MORN1,ENST00000378531,0.082258
RER1,ENST00000605895,5.341685
PEX10,ENST00000447513,1.3588
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,1.609034
HES5,ENST00000378453,10.331862
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0.007444
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.015227
ARHGEF16,ENST00000378378,0.12585
MEGF6,ENST00000356575,0.06081
TPRG1L,ENST00000378344,0.827586
WRAP73,ENST00000270708,0.995995
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.994768
CEP104,ENST00000378230,0.380946
DFFB,ENST00000378209,0.84053
C1orf174,ENST00000361605,2.273685
AJAP1,ENST00000378191,0.004098
NPHP4,ENST00000378156,0.267221
CHD5,ENST00000262450,0.003373
RPL22,ENST00000234875,11.975549000000001
RNF207,ENST00000377939,0.105703
ICMT,ENST00000343813,2.562993
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.734268
ACOT7,ENST00000361521,0.044317
HES2,ENST00000377834,0.004035
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,1.34868
TAS1R1,ENST00000333172,0
ZBTB48,ENST00000377674,0.061469
KLHL21,ENST00000377658,1.031107
PHF13,ENST00000377648,1.718127
DNAJC11,ENST00000377577,2.461514
CAMTA1,ENST00000303635,0.305265
VAMP3,ENST00000054666,4.883042
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,2.320382
ERRFI1,ENST00000377482,2.902285
SLC45A1,ENST00000471889,0.116229
RERE,ENST00000400908,1.088439
ENO1,ENST00000234590,103.116939
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.004221
GPR157,ENST00000377411,0.117797
H6PD,ENST00000377403,1.504318
SPSB1,ENST00000328089,0.53627
SLC25A33,ENST00000302692,0.773207
TMEM201,ENST00000340381,0.401953
PIK3CD,ENST00000377346,0.178746
CLSTN1,ENST00000377298,0.791767
CTNNBIP1,ENST00000377263,2.314537
LZIC,ENST00000377223,2.041648
NMNAT1,ENST00000377205,0.483416
RBP7,ENST00000294435,0
UBE4B,ENST00000343090,0.899713
PGD,ENST00000270776,7.81439
APITD1,ENST00000309048,0.268752
CORT,ENST00000377049,0.07619
DFFA,ENST00000377038,1.933993
PEX14,ENST00000356607,1.281429
CASZ1,ENST00000377022,0.019476
TARDBP,ENST00000240185,0.602547
MASP2,ENST00000400897,0.264216
SRM,ENST00000376957,6.683917
EXOSC10,ENST00000376936,5.62737
MTOR,ENST00000361445,3.014897
ANGPTL7,ENST00000376819,0.040989
UBIAD1,ENST00000376810,1.054566
PTCHD2,ENST00000294484,0.076224
FBXO2,ENST00000354287,0.288181
FBXO44,ENST00000251547,0.28641
FBXO6,ENST00000376753,0.327914
MAD2L2,ENST00000376692,10.685162
DRAXIN,ENST00000294485,1.890723
AGTRAP,ENST00000314340,2.201745
MTHFR,ENST00000376590,0.037435
CLCN6,ENST00000346436,1.921955
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,1.66144
PLOD1,ENST00000196061,6.517557
MFN2,ENST00000235329,4.216838
MIIP,ENST00000235332,2.57084
TNFRSF8,ENST00000263932,0.009223
TNFRSF1B,ENST00000376259,0.616919
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0
KAZN,ENST00000376030,0.192611
TMEM51,ENST00000376008,0.582937
EFHD2,ENST00000375980,1.929758
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.046348
DNAJC16,ENST00000375847,0.589145
AGMAT,ENST00000375826,0.068267
DDI2,ENST00000480945,0.56111
PLEKHM2,ENST00000375799,0
SLC25A34,ENST00000294454,0.022487
TMEM82,ENST00000375782,0
FBLIM1,ENST00000375766,0.675628
SPEN,ENST00000375759,1.421831
ZBTB17,ENST00000375743,1.055771
C1orf64,ENST00000329454,0
HSPB7,ENST00000311890,0
CLCNKA,ENST00000331433,0
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.185818
EPHA2,ENST00000358432,0.258384
ARHGEF19,ENST00000270747,0.167585
RSG1,ENST00000375599,0.678205
FBXO42,ENST00000375592,0.959256
SZRD1,ENST00000401088,1.085734
NECAP2,ENST00000337132,2.222822
CROCC,ENST00000375541,0.652209
MFAP2,ENST00000375535,0
ATP13A2,ENST00000326735,1.6834
SDHB,ENST00000375499,1.904923
PADI2,ENST00000375486,0.26559
PADI1,ENST00000375471,0
PADI3,ENST00000375460,0
PADI4,ENST00000375448,0
RCC2,ENST00000375436,6.559947
ARHGEF10L,ENST00000361221,0.122003
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,0.622759
PAX7,ENST00000420770,0
