gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,3.113328
KLHL17,ENST00000338591,0.171082
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,0.516187
AGRN,ENST00000379370,6.063979
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.157966
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.300079
SDF4,ENST00000360001,1.496169
B3GALT6,ENST00000379198,1.510268
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,0.867857
SCNN1D,ENST00000379116,0.016018
ACAP3,ENST00000354700,0.883455
PUSL1,ENST00000379031,0.800716
CPSF3L,ENST00000435064,0.585278
GLTPD1,ENST00000343938,0.825975
TAS1R3,ENST00000339381,0.087273
DVL1,ENST00000378888,0.011111
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.395338
MRPL20,ENST00000344843,10.702755
VWA1,ENST00000476993,0.677364
ATAD3A,ENST00000378756,0.891508
TMEM240,ENST00000378733,0.036252
SSU72,ENST00000291386,5.587552
C1orf233,ENST00000422725,0.510528
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.496031
CDK11A,ENST00000404249,0.511621
NADK,ENST00000341426,0
GNB1,ENST00000378609,16.507158
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0.570495
SKI,ENST00000378536,3.108845
MORN1,ENST00000378531,0.174107
RER1,ENST00000605895,3.03929
PEX10,ENST00000447513,0.615491
PLCH2,ENST00000378486,0.062063
PANK4,ENST00000378466,0.560052
HES5,ENST00000378453,0.06984
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0.108087
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.22528
ARHGEF16,ENST00000378378,0.019453
MEGF6,ENST00000356575,0.116637
TPRG1L,ENST00000378344,1.398404
WRAP73,ENST00000270708,0.573603
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.54785
CEP104,ENST00000378230,0.690386
DFFB,ENST00000378209,0.260123
C1orf174,ENST00000361605,1.417107
AJAP1,ENST00000378191,0.56102
NPHP4,ENST00000378156,0.373317
CHD5,ENST00000262450,0.541983
RPL22,ENST00000234875,16.104156
RNF207,ENST00000377939,0.073906
ICMT,ENST00000343813,1.735338
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.979109
ACOT7,ENST00000361521,0.007335
HES2,ENST00000377834,0.001559
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0.078615
NOL9,ENST00000377705,1.528279
TAS1R1,ENST00000333172,0.022389
ZBTB48,ENST00000377674,0.078354
KLHL21,ENST00000377658,1.015944
PHF13,ENST00000377648,1.152168
DNAJC11,ENST00000377577,1.891824
CAMTA1,ENST00000303635,0.505686
VAMP3,ENST00000054666,6.520542
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,1.605909
ERRFI1,ENST00000377482,1.376295
SLC45A1,ENST00000471889,0.078831
RERE,ENST00000400908,0.845868
ENO1,ENST00000234590,69.525008
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,4.866757
GPR157,ENST00000377411,0.045741
H6PD,ENST00000377403,1.833585
SPSB1,ENST00000328089,2.641026
SLC25A33,ENST00000302692,0.693984
TMEM201,ENST00000340381,0.145562
PIK3CD,ENST00000377346,1.073143
CLSTN1,ENST00000377298,1.016435
CTNNBIP1,ENST00000377263,1.433169
LZIC,ENST00000377223,1.706958
NMNAT1,ENST00000377205,0.383773
RBP7,ENST00000294435,0.133116
UBE4B,ENST00000343090,0.787324
PGD,ENST00000270776,4.489636
APITD1,ENST00000309048,0.26861
CORT,ENST00000377049,0.086926
DFFA,ENST00000377038,1.806383
PEX14,ENST00000356607,1.106534
CASZ1,ENST00000377022,0.26917
TARDBP,ENST00000240185,0.655383
MASP2,ENST00000400897,0.266595
SRM,ENST00000376957,5.249923
EXOSC10,ENST00000376936,2.772906
MTOR,ENST00000361445,2.342803
ANGPTL7,ENST00000376819,0.086036
UBIAD1,ENST00000376810,0.816906
PTCHD2,ENST00000294484,0.252711
FBXO2,ENST00000354287,5.937645
FBXO44,ENST00000251547,0.193612
FBXO6,ENST00000376753,0.477523
MAD2L2,ENST00000376692,4.068131
DRAXIN,ENST00000294485,1.188695
AGTRAP,ENST00000314340,2.039726
MTHFR,ENST00000376590,0.118954
CLCN6,ENST00000346436,1.48858
NPPA,ENST00000376480,2.760015
NPPB,ENST00000376468,0.381659
KIAA2013,ENST00000376572,1.494802
PLOD1,ENST00000196061,5.586992
MFN2,ENST00000235329,4.227852
MIIP,ENST00000235332,2.359016
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,2.981046
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0
KAZN,ENST00000376030,3.358894
TMEM51,ENST00000376008,0
EFHD2,ENST00000375980,3.233328
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.226532
DNAJC16,ENST00000375847,0.632675
AGMAT,ENST00000375826,0.206644
DDI2,ENST00000480945,1.0647
PLEKHM2,ENST00000375799,1.132691
SLC25A34,ENST00000294454,0.095177
TMEM82,ENST00000375782,0
FBLIM1,ENST00000375766,1.661333
SPEN,ENST00000375759,2.55918
ZBTB17,ENST00000375743,0.978009
C1orf64,ENST00000329454,0.349824
HSPB7,ENST00000311890,0
CLCNKA,ENST00000331433,0
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.44351
EPHA2,ENST00000358432,1.304345
ARHGEF19,ENST00000270747,0.057828
RSG1,ENST00000375599,0.234121
FBXO42,ENST00000375592,0.791314
SZRD1,ENST00000401088,1.130219
NECAP2,ENST00000337132,3.844241
CROCC,ENST00000375541,0.376548
MFAP2,ENST00000375535,0.756778
ATP13A2,ENST00000326735,0
SDHB,ENST00000375499,1.668518
PADI2,ENST00000375486,14.028424
PADI1,ENST00000375471,0.020635
PADI3,ENST00000375460,0.004256
PADI4,ENST00000375448,0.006201
RCC2,ENST00000375436,5.040167
ARHGEF10L,ENST00000361221,0.523974
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,2.115197
PAX7,ENST00000420770,0
ALDH4A1,ENST00000375341,2.440522
IFFO2,ENST00000455833,1.54552
UBR4,ENST00000375254,3.000635
EMC1,ENST00000477853,0.789925
MRTO4,ENST00000330263,3.603596
AKR7A3,ENST00000361640,0.137508
