gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.328415
KLHL17,ENST00000338591,0.626381
PLEKHN1,ENST00000379410,0.016469
HES4,ENST00000304952,4.640763
AGRN,ENST00000379370,21.695831
RNF223,ENST00000453464,0.005309
C1orf159,ENST00000421241,0.351107
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,6.767194
B3GALT6,ENST00000379198,2.462063
FAM132A,ENST00000330388,0.094194
UBE2J2,ENST00000349431,0.970736
SCNN1D,ENST00000379116,0.09691
ACAP3,ENST00000354700,1.937453
PUSL1,ENST00000379031,1.683343
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,1.721061
TAS1R3,ENST00000339381,0.175239
DVL1,ENST00000378888,0.194507
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.330465
MRPL20,ENST00000344843,6.351306
VWA1,ENST00000476993,0.129641
ATAD3A,ENST00000378756,1.410634
TMEM240,ENST00000378733,0.038422
SSU72,ENST00000291386,4.926714
C1orf233,ENST00000422725,0.273458
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.476132
CDK11A,ENST00000404249,0.229287
NADK,ENST00000341426,0.907914
GNB1,ENST00000378609,11.061504
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0.061013
PRKCZ,ENST00000378567,0.020281
C1orf86,ENST00000378546,3.075754
SKI,ENST00000378536,0.891216
MORN1,ENST00000378531,0.291816
RER1,ENST00000605895,4.005744
PEX10,ENST00000447513,1.591317
PLCH2,ENST00000378486,0.180223
PANK4,ENST00000378466,1.537762
HES5,ENST00000378453,10.061026
FAM213B,ENST00000419916,0.673305
MMEL1,ENST00000378412,0.441999
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.121669
ARHGEF16,ENST00000378378,0.00511
MEGF6,ENST00000356575,0.009626
TPRG1L,ENST00000378344,0.604811
WRAP73,ENST00000270708,0.695566
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0.009344
LRRC47,ENST00000378251,1.74119
CEP104,ENST00000378230,0.329044
DFFB,ENST00000378209,0.14191
C1orf174,ENST00000361605,0.692392
AJAP1,ENST00000378191,0.006015
NPHP4,ENST00000378156,0.169735
CHD5,ENST00000262450,0.005021
RPL22,ENST00000234875,6.746543
RNF207,ENST00000377939,0.109247
ICMT,ENST00000343813,1.750585
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.195182
ACOT7,ENST00000361521,0.04114
HES2,ENST00000377834,0.00546
TNFRSF25,ENST00000356876,0.01719
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,0.608695
TAS1R1,ENST00000333172,0.019173
ZBTB48,ENST00000377674,0.055652
KLHL21,ENST00000377658,1.259028
PHF13,ENST00000377648,1.215159
DNAJC11,ENST00000377577,1.864895
CAMTA1,ENST00000303635,0.27161
VAMP3,ENST00000054666,4.028206
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,3.184552
ERRFI1,ENST00000377482,0.634297
SLC45A1,ENST00000471889,0.329604
RERE,ENST00000400908,0.65525
ENO1,ENST00000234590,53.620767
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.012567
GPR157,ENST00000377411,0.086184
H6PD,ENST00000377403,1.370846
SPSB1,ENST00000328089,0.64984
SLC25A33,ENST00000302692,0.408285
TMEM201,ENST00000340381,0.343352
PIK3CD,ENST00000377346,0.262272
CLSTN1,ENST00000377298,1.919995
CTNNBIP1,ENST00000377263,1.931068
LZIC,ENST00000377223,0.915454
NMNAT1,ENST00000377205,0.45606
RBP7,ENST00000294435,0
UBE4B,ENST00000343090,0.391783
PGD,ENST00000270776,6.54511
APITD1,ENST00000309048,0
CORT,ENST00000377049,0.053961
DFFA,ENST00000377038,1.641819
PEX14,ENST00000356607,1.880485
CASZ1,ENST00000377022,0.194909
TARDBP,ENST00000240185,0.256773
MASP2,ENST00000400897,0.137072
SRM,ENST00000376957,2.358657
EXOSC10,ENST00000376936,2.513143
MTOR,ENST00000361445,2.566696
ANGPTL7,ENST00000376819,0
UBIAD1,ENST00000376810,0.731796
PTCHD2,ENST00000294484,0.33654
FBXO2,ENST00000354287,3.441493
FBXO44,ENST00000251547,0.644776
FBXO6,ENST00000376753,1.185832
MAD2L2,ENST00000376692,5.97297
DRAXIN,ENST00000294485,3.198686
AGTRAP,ENST00000314340,3.031768
MTHFR,ENST00000376590,0.098663
CLCN6,ENST00000346436,2.180632
NPPA,ENST00000376480,0.456809
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,1.554615
PLOD1,ENST00000196061,4.951009
MFN2,ENST00000235329,4.180286
MIIP,ENST00000235332,1.95468
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,0
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0.014182
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0.214664
KAZN,ENST00000376030,0.844206
TMEM51,ENST00000376008,0
EFHD2,ENST00000375980,2.262761
CTRC,ENST00000375949,0.006218
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0.01974
CASP9,ENST00000333868,0.082919
DNAJC16,ENST00000375847,0.556438
AGMAT,ENST00000375826,0.018478
DDI2,ENST00000480945,0.262661
PLEKHM2,ENST00000375799,1.451974
SLC25A34,ENST00000294454,0.115976
TMEM82,ENST00000375782,0
FBLIM1,ENST00000375766,1.031634
SPEN,ENST00000375759,0.838217
ZBTB17,ENST00000375743,1.247586
C1orf64,ENST00000329454,0
HSPB7,ENST00000311890,0.078671
CLCNKA,ENST00000331433,0.045476
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.421255
EPHA2,ENST00000358432,3.331893
ARHGEF19,ENST00000270747,0.05039
RSG1,ENST00000375599,0.764703
FBXO42,ENST00000375592,0.883588
SZRD1,ENST00000401088,0.704366
NECAP2,ENST00000337132,2.426104
CROCC,ENST00000375541,0.303241
MFAP2,ENST00000375535,0
ATP13A2,ENST00000326735,0
SDHB,ENST00000375499,3.279128
PADI2,ENST00000375486,0.069273
PADI1,ENST00000375471,0
PADI3,ENST00000375460,0
PADI4,ENST00000375448,0.004343
RCC2,ENST00000375436,3.168841
ARHGEF10L,ENST00000361221,1.198522
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,0.283115
PAX7,ENST00000420770,0
ALDH4A1,ENST00000375341,1.418922
IFFO2,ENST00000455833,0.491541
UBR4,ENST00000375254,2.94462
EMC1,ENST00000477853,0.612321
MRTO4,ENST00000330263,1.812163
AKR7A3,ENST00000361640,0.083774
PQLC2,ENST00000375153,0.223292
CAPZB,ENST00000264202,4.869158
MINOS1,ENST00000322753,0.243053
NBL1,ENST00000375136,0.253418
HTR6,ENST00000289753,0.003702
RNF186,ENST00000375121,0
OTUD3,ENST00000375120,0.469986
PLA2G2E,ENST00000375116,0
PLA2G5,ENST00000375108,0.280258
PLA2G2D,ENST00000375105,0.010735
PLA2G2F,ENST00000375102,0.008491
UBXN10,ENST00000375099,8.25e-4
CAMK2N1,ENST00000375078,1.20562
MUL1,ENST00000264198,3.780996
FAM43B,ENST00000332947,0.380639
CDA,ENST00000375071,0
PINK1,ENST00000321556,6.640481
DDOST,ENST00000602624,11.557288
KIF17,ENST00000400463,0.210181
SH2D5,ENST00000444387,0
HP1BP3,ENST00000438032,0
ECE1,ENST00000374893,0
NBPF3,ENST00000318249,0.108814
ALPL,ENST00000374840,0.072966
USP48,ENST00000308271,0.428413
LDLRAD2,ENST00000344642,0.184886
HSPG2,ENST00000374695,0.515181
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,0.024746
ZBTB40,ENST00000375647,0.715827
EPHA8,ENST00000166244,9.19e-4
C1QA,ENST00000374642,0
C1QC,ENST00000374640,0.004821
C1QB,ENST00000509305,0
EPHB2,ENST00000374630,0.638711
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,1.514599
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,2.170672
TCEA3,ENST00000450454,0
ASAP3,ENST00000336689,2.194978
E2F2,ENST00000361729,0.11339
ID3,ENST00000374561,2.965051
PITHD1,ENST00000246151,3.152598
LYPLA2,ENST00000374514,2.24821
HMGCL,ENST00000374490,1.012642
FUCA1,ENST00000374479,3.019863
CNR2,ENST00000374472,0.001747
PNRC2,ENST00000334351,2.52634
SRSF10,ENST00000492112,0.073555
MYOM3,ENST00000374434,0.009542
IL22RA1,ENST00000270800,0.003413
IFNLR1,ENST00000327535,0.008121
GRHL3,ENST00000361548,0.230798
STPG1,ENST00000337248,0.321445
NIPAL3,ENST00000374399,2.548963
RCAN3,ENST00000374395,0.065697
NCMAP,ENST00000374392,0.010571
SRRM1,ENST00000323848,0.709915
CLIC4,ENST00000374379,3.302937
RUNX3,ENST00000308873,0
SYF2,ENST00000236273,1.314175
C1orf63,ENST00000243189,1.675772
TMEM50A,ENST00000374358,2.224567
TMEM57,ENST00000374343,0.37985
LDLRAP1,ENST00000374338,0.105824
SEPN1,ENST00000361547,0.67181
MTFR1L,ENST00000374303,3.020097
AUNIP,ENST00000374298,0.048199
STMN1,ENST00000455785,3.392775
PAFAH2,ENST00000374282,0.330897
EXTL1,ENST00000374280,0.275536
SLC30A2,ENST00000374276,0
TRIM63,ENST00000374272,0.005762
PDIK1L,ENST00000374269,0.359545
FAM110D,ENST00000374268,0.029216
ZNF593,ENST00000374266,2.985395
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,0.355223
SH3BGRL3,ENST00000270792,9.809827
CD52,ENST00000374213,0
ZNF683,ENST00000349618,0
LIN28A,ENST00000326279,0.002352
DHDDS,ENST00000236342,0.638114
HMGN2,ENST00000361427,0.799418
RPS6KA1,ENST00000374168,0.115061
ARID1A,ENST00000324856,0.517191
ZDHHC18,ENST00000374142,0.502533
SFN,ENST00000339276,0.024829
GPN2,ENST00000374135,0.689532
GPATCH3,ENST00000361720,0.978483
NR0B2,ENST00000254227,0
NUDC,ENST00000321265,4.433778
C1orf172,ENST00000320567,0
TRNP1,ENST00000522111,0.673497
FAM46B,ENST00000289166,0.412963
SLC9A1,ENST00000263980,0.323055
WDTC1,ENST00000319394,0.040427
MAP3K6,ENST00000357582,0.42674
FCN3,ENST00000270879,0
CD164L2,ENST00000374030,0.031437
GPR3,ENST00000374024,0.696346
FGR,ENST00000374005,0
IFI6,ENST00000361157,14.215278
FAM76A,ENST00000373954,0.291528
STX12,ENST00000373943,3.986251
PPP1R8,ENST00000311772,1.908384
THEMIS2,ENST00000373921,0.037289
RPA2,ENST00000373912,2.593001
SMPDL3B,ENST00000373894,0
XKR8,ENST00000373884,0.38347
EYA3,ENST00000373871,0.119875
PTAFR,ENST00000373857,0.007023
DNAJC8,ENST00000263697,3.360744
ATPIF1,ENST00000335514,16.61657
SESN2,ENST00000253063,2.906554
MED18,ENST00000373842,0.432217
PHACTR4,ENST00000373839,0.239235
TRNAU1AP,ENST00000373830,0.521896
TAF12,ENST00000373824,0.845955
GMEB1,ENST00000373816,0.230307
YTHDF2,ENST00000373812,2.803636
OPRD1,ENST00000234961,0.0029
EPB41,ENST00000343067,0
TMEM200B,ENST00000521452,0.223165
SRSF4,ENST00000373795,4.282044
MECR,ENST00000263702,0.173697
PTPRU,ENST00000373779,1.044558
MATN1,ENST00000373765,0.008961
LAPTM5,ENST00000294507,0.054397
SDC3,ENST00000339394,19.496456
PUM1,ENST00000426105,0.438513
NKAIN1,ENST00000373736,0.119682
SNRNP40,ENST00000263694,2.651663
ZCCHC17,ENST00000344147,2.241192
FABP3,ENST00000373713,0.931073
SERINC2,ENST00000373709,1.739795
TINAGL1,ENST00000271064,0
PEF1,ENST00000373703,5.432897
COL16A1,ENST00000373672,0.584695
KHDRBS1,ENST00000327300,3.126126
TMEM39B,ENST00000336294,0
KPNA6,ENST00000373625,2.189992
TXLNA,ENST00000373610,2.1808
CCDC28B,ENST00000373602,2.97982
IQCC,ENST00000291358,0.259275
