gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,1.246889
KLHL17,ENST00000338591,0.293963
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,0
AGRN,ENST00000379370,0.835713
RNF223,ENST00000453464,0.006915
C1orf159,ENST00000421241,0
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.022347
SDF4,ENST00000360001,2.989278
B3GALT6,ENST00000379198,0.821861
FAM132A,ENST00000330388,0.017105
UBE2J2,ENST00000349431,0.525613
SCNN1D,ENST00000379116,0.324254
ACAP3,ENST00000354700,0.304011
PUSL1,ENST00000379031,0
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,1.015345
TAS1R3,ENST00000339381,0.640554
DVL1,ENST00000378888,0.167915
MXRA8,ENST00000309212,0.435163
CCNL2,ENST00000400809,0.599777
MRPL20,ENST00000344843,3.485285
VWA1,ENST00000476993,1.821315
ATAD3A,ENST00000378756,0
TMEM240,ENST00000378733,0.014104
SSU72,ENST00000291386,3.918631
C1orf233,ENST00000422725,0.791559
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.499431
CDK11A,ENST00000404249,0.925342
NADK,ENST00000341426,0
GNB1,ENST00000378609,13.883936
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0
SKI,ENST00000378536,10.238534
MORN1,ENST00000378531,0
RER1,ENST00000605895,2.605119
PEX10,ENST00000447513,0.211402
PLCH2,ENST00000378486,0.02831
PANK4,ENST00000378466,0.831841
HES5,ENST00000378453,0.074341
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.157289
ARHGEF16,ENST00000378378,0.008874
MEGF6,ENST00000356575,0.056564
TPRG1L,ENST00000378344,1.549109
WRAP73,ENST00000270708,0.2486
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0.006086
LRRC47,ENST00000378251,1.537781
CEP104,ENST00000378230,0.428747
DFFB,ENST00000378209,0
C1orf174,ENST00000361605,1.002302
AJAP1,ENST00000378191,0.00388
NPHP4,ENST00000378156,0.182259
CHD5,ENST00000262450,1.431938
RPL22,ENST00000234875,16.182278
RNF207,ENST00000377939,0.126244
ICMT,ENST00000343813,1.062114
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.616092
ACOT7,ENST00000361521,0.075941
HES2,ENST00000377834,0
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,1.238984
TAS1R1,ENST00000333172,0
ZBTB48,ENST00000377674,0.023962
KLHL21,ENST00000377658,2.729512
PHF13,ENST00000377648,2.112583
DNAJC11,ENST00000377577,1.5202040000000001
CAMTA1,ENST00000303635,0.390454
VAMP3,ENST00000054666,2.781956
UTS2,ENST00000361696,0.147313
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,1.40367
ERRFI1,ENST00000377482,9.207631
SLC45A1,ENST00000471889,0.050075
RERE,ENST00000400908,1.280365
ENO1,ENST00000234590,62.660065
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.047005
GPR157,ENST00000377411,0.030018
H6PD,ENST00000377403,0.483025
SPSB1,ENST00000328089,2.867918
SLC25A33,ENST00000302692,0.667585
TMEM201,ENST00000340381,0
PIK3CD,ENST00000377346,0.357163
CLSTN1,ENST00000377298,0.228601
CTNNBIP1,ENST00000377263,0.742769
LZIC,ENST00000377223,1.879198
NMNAT1,ENST00000377205,0.503663
RBP7,ENST00000294435,0
UBE4B,ENST00000343090,1.366392
PGD,ENST00000270776,3.132489
APITD1,ENST00000309048,0.232413
CORT,ENST00000377049,0.540489
DFFA,ENST00000377038,2.719389
PEX14,ENST00000356607,1.323402
CASZ1,ENST00000377022,0.416756
TARDBP,ENST00000240185,1.228218
MASP2,ENST00000400897,0.243239
SRM,ENST00000376957,2.872424
EXOSC10,ENST00000376936,3.506266
MTOR,ENST00000361445,1.525638
ANGPTL7,ENST00000376819,0.115612
UBIAD1,ENST00000376810,0.462422
PTCHD2,ENST00000294484,0.069588
FBXO2,ENST00000354287,0.010999
FBXO44,ENST00000251547,0.341023
FBXO6,ENST00000376753,0.287807
MAD2L2,ENST00000376692,2.397239
DRAXIN,ENST00000294485,2.220453
AGTRAP,ENST00000314340,2.249621
MTHFR,ENST00000376590,0.244586
CLCN6,ENST00000346436,1.963719
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0.024873
KIAA2013,ENST00000376572,0.953772
PLOD1,ENST00000196061,7.62101
MFN2,ENST00000235329,3.369662
MIIP,ENST00000235332,1.434047
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,1.220558
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0
KAZN,ENST00000376030,1.338805
TMEM51,ENST00000376008,0.06767
EFHD2,ENST00000375980,2.264431
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0
DNAJC16,ENST00000375847,0.804826
AGMAT,ENST00000375826,0.032092
DDI2,ENST00000480945,0.968621
PLEKHM2,ENST00000375799,0
SLC25A34,ENST00000294454,0.27934
TMEM82,ENST00000375782,0
FBLIM1,ENST00000375766,0.433216
SPEN,ENST00000375759,8.906008
ZBTB17,ENST00000375743,1.16067
C1orf64,ENST00000329454,0.098208
HSPB7,ENST00000311890,0
CLCNKA,ENST00000331433,0.047177
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.206627
EPHA2,ENST00000358432,3.435735
ARHGEF19,ENST00000270747,0.047306
RSG1,ENST00000375599,0.387962
FBXO42,ENST00000375592,2.336595
SZRD1,ENST00000401088,0.074795
NECAP2,ENST00000337132,2.62283
CROCC,ENST00000375541,0.521267
MFAP2,ENST00000375535,0.909439
ATP13A2,ENST00000326735,1.094387
SDHB,ENST00000375499,1.266615
PADI2,ENST00000375486,0.301493
PADI1,ENST00000375471,0
PADI3,ENST00000375460,0.042716
PADI4,ENST00000375448,0.016972
RCC2,ENST00000375436,5.471956
ARHGEF10L,ENST00000361221,1.123914
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,0.006949
PAX7,ENST00000420770,0
ALDH4A1,ENST00000375341,0.85647
IFFO2,ENST00000455833,0.957324
UBR4,ENST00000375254,4.869022
EMC1,ENST00000477853,0.836496
MRTO4,ENST00000330263,1.250408
AKR7A3,ENST00000361640,0.160603
PQLC2,ENST00000375153,0.31425
CAPZB,ENST00000264202,2.461649
MINOS1,ENST00000322753,0.524991
NBL1,ENST00000375136,0.55571
HTR6,ENST00000289753,0.01286
RNF186,ENST00000375121,0
OTUD3,ENST00000375120,1.679312
PLA2G2E,ENST00000375116,0.0213
PLA2G5,ENST00000375108,3.174437
PLA2G2D,ENST00000375105,0
PLA2G2F,ENST00000375102,0
UBXN10,ENST00000375099,0.002149
CAMK2N1,ENST00000375078,3.915486
MUL1,ENST00000264198,1.708055
FAM43B,ENST00000332947,0.633397
CDA,ENST00000375071,0
PINK1,ENST00000321556,3.712141
DDOST,ENST00000602624,5.944085
KIF17,ENST00000400463,0.068854
SH2D5,ENST00000444387,0
HP1BP3,ENST00000438032,2.342386
ECE1,ENST00000374893,0
NBPF3,ENST00000318249,0
ALPL,ENST00000374840,0.169389
USP48,ENST00000308271,0.488479
LDLRAD2,ENST00000344642,0.2212
HSPG2,ENST00000374695,0.95971
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,0.088463
ZBTB40,ENST00000375647,2.361588
EPHA8,ENST00000166244,0.004787
C1QA,ENST00000374642,1.15252
C1QC,ENST00000374640,1.318763
C1QB,ENST00000509305,0
EPHB2,ENST00000374630,0.49557
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,0.9626
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,3.912681
TCEA3,ENST00000450454,0.27879
ASAP3,ENST00000336689,0.633842
E2F2,ENST00000361729,0.016155
ID3,ENST00000374561,2.017049
PITHD1,ENST00000246151,1.578583
LYPLA2,ENST00000374514,2.422292
HMGCL,ENST00000374490,0.570925
FUCA1,ENST00000374479,0.336533
CNR2,ENST00000374472,0.01138
PNRC2,ENST00000334351,5.767153
SRSF10,ENST00000492112,1.841218
MYOM3,ENST00000374434,0
IL22RA1,ENST00000270800,0.017783
IFNLR1,ENST00000327535,0.058181
GRHL3,ENST00000361548,0
STPG1,ENST00000337248,0
NIPAL3,ENST00000374399,1.196273
RCAN3,ENST00000374395,0.35294
NCMAP,ENST00000374392,0.01224
SRRM1,ENST00000323848,3.705803
CLIC4,ENST00000374379,10.000701
RUNX3,ENST00000308873,0.01703
SYF2,ENST00000236273,1.613897
C1orf63,ENST00000243189,0.7948
TMEM50A,ENST00000374358,2.707881
TMEM57,ENST00000374343,0.705075
LDLRAP1,ENST00000374338,0.095752
SEPN1,ENST00000361547,0.974708
MTFR1L,ENST00000374303,2.95765
AUNIP,ENST00000374298,0.045366
STMN1,ENST00000455785,1.958758
PAFAH2,ENST00000374282,0.793368
EXTL1,ENST00000374280,0.043292
SLC30A2,ENST00000374276,0
TRIM63,ENST00000374272,0.015012
PDIK1L,ENST00000374269,0.396877
FAM110D,ENST00000374268,0.026863
ZNF593,ENST00000374266,1.5271
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,0.699304
SH3BGRL3,ENST00000270792,10.1679
CD52,ENST00000374213,0.104741
ZNF683,ENST00000349618,0
LIN28A,ENST00000326279,0
DHDDS,ENST00000236342,0.356161
HMGN2,ENST00000361427,1.21706
RPS6KA1,ENST00000374168,0
ARID1A,ENST00000324856,0.838732
ZDHHC18,ENST00000374142,1.337615
SFN,ENST00000339276,0.021561
GPN2,ENST00000374135,1.415048
GPATCH3,ENST00000361720,0.731693
NR0B2,ENST00000254227,0.012464
NUDC,ENST00000321265,10.453154
C1orf172,ENST00000320567,0.6469
TRNP1,ENST00000522111,1.791128
FAM46B,ENST00000289166,0.262269
SLC9A1,ENST00000263980,0.323583
WDTC1,ENST00000319394,0.10694
MAP3K6,ENST00000357582,0.447277
