gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.98887
KLHL17,ENST00000338591,0.220613
PLEKHN1,ENST00000379410,0.035697
HES4,ENST00000304952,1.99923
AGRN,ENST00000379370,7.010732
RNF223,ENST00000453464,0.030875
C1orf159,ENST00000421241,0.198508
TTLL10,ENST00000379289,0.068717
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.123039
SDF4,ENST00000360001,2.633774
B3GALT6,ENST00000379198,1.978364
FAM132A,ENST00000330388,0.471846
UBE2J2,ENST00000349431,0.702346
SCNN1D,ENST00000379116,0
ACAP3,ENST00000354700,0.911715
PUSL1,ENST00000379031,0.736482
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,1.4745
TAS1R3,ENST00000339381,0.565684
DVL1,ENST00000378888,0.24836
MXRA8,ENST00000309212,0.415533
CCNL2,ENST00000400809,0.284745
MRPL20,ENST00000344843,10.129429
VWA1,ENST00000476993,2.166408
ATAD3A,ENST00000378756,0.513075
TMEM240,ENST00000378733,0.012663
SSU72,ENST00000291386,7.742726
C1orf233,ENST00000422725,0.413235
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.140635
CDK11A,ENST00000404249,1.032971
NADK,ENST00000341426,0
GNB1,ENST00000378609,14.814531
CALML6,ENST00000307786,0.120076
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0.296837
C1orf86,ENST00000378546,0.388349
SKI,ENST00000378536,4.761666
MORN1,ENST00000378531,0.183437
RER1,ENST00000605895,2.384811
PEX10,ENST00000447513,0.820627
PLCH2,ENST00000378486,0.280922
PANK4,ENST00000378466,0.481639
HES5,ENST00000378453,1.213911
FAM213B,ENST00000419916,0.6923
MMEL1,ENST00000378412,0.031026
ACTRT2,ENST00000378404,0.042908
PRDM16,ENST00000270722,1.011417
ARHGEF16,ENST00000378378,0.031334
MEGF6,ENST00000356575,1.359997
TPRG1L,ENST00000378344,1.748112
WRAP73,ENST00000270708,0.630478
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0.065213
LRRC47,ENST00000378251,2.153054
CEP104,ENST00000378230,0.567885
DFFB,ENST00000378209,0.378002
C1orf174,ENST00000361605,2.378872
AJAP1,ENST00000378191,0.511658
NPHP4,ENST00000378156,0.248919
CHD5,ENST00000262450,0.029664
RPL22,ENST00000234875,11.707891
RNF207,ENST00000377939,0.072847
ICMT,ENST00000343813,2.031117
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.714219
ACOT7,ENST00000361521,0.19662
HES2,ENST00000377834,0.02145
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,1.948982
TAS1R1,ENST00000333172,0.008504
ZBTB48,ENST00000377674,0.167849
KLHL21,ENST00000377658,0.992466
PHF13,ENST00000377648,1.80815
DNAJC11,ENST00000377577,2.087356
CAMTA1,ENST00000303635,0.693438
VAMP3,ENST00000054666,4.361109
UTS2,ENST00000361696,0.032887
TNFRSF9,ENST00000377507,0.012475
PARK7,ENST00000338639,2.779095
ERRFI1,ENST00000377482,3.119782
SLC45A1,ENST00000471889,0.131174
RERE,ENST00000400908,1.188727
ENO1,ENST00000234590,40.444395
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.359866
GPR157,ENST00000377411,0.212223
H6PD,ENST00000377403,1.573932
SPSB1,ENST00000328089,0.679914
SLC25A33,ENST00000302692,0.682663
TMEM201,ENST00000340381,0.230083
PIK3CD,ENST00000377346,0.585104
CLSTN1,ENST00000377298,0.088873
CTNNBIP1,ENST00000377263,1.702513
LZIC,ENST00000377223,1.809415
NMNAT1,ENST00000377205,0.484597
RBP7,ENST00000294435,0
UBE4B,ENST00000343090,1.234985
