gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.243998
KLHL17,ENST00000338591,0.271679
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,0.550764
AGRN,ENST00000379370,6.045628
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.209296
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.107409
SDF4,ENST00000360001,1.513964
B3GALT6,ENST00000379198,0.925614
FAM132A,ENST00000330388,0.075155
UBE2J2,ENST00000349431,0.762151
SCNN1D,ENST00000379116,0.059235
ACAP3,ENST00000354700,1.121591
PUSL1,ENST00000379031,0.791826
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.678579
TAS1R3,ENST00000339381,0.087088
DVL1,ENST00000378888,0.228229
MXRA8,ENST00000309212,0.336541
CCNL2,ENST00000400809,0.71146
MRPL20,ENST00000344843,5.707196
VWA1,ENST00000476993,0.253148
ATAD3A,ENST00000378756,0.284412
TMEM240,ENST00000378733,0.018546
SSU72,ENST00000291386,2.37647
C1orf233,ENST00000422725,0.433743
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0
CDK11A,ENST00000404249,0.861811
NADK,ENST00000341426,0.578377
GNB1,ENST00000378609,10.0514
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0.761779
SKI,ENST00000378536,3.324136
MORN1,ENST00000378531,0.330475
RER1,ENST00000605895,2.363799
PEX10,ENST00000447513,0.862402
PLCH2,ENST00000378486,0.045011
PANK4,ENST00000378466,0.321763
HES5,ENST00000378453,2.28334
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.291948
ARHGEF16,ENST00000378378,0.028734
MEGF6,ENST00000356575,0.205729
TPRG1L,ENST00000378344,0.556562
WRAP73,ENST00000270708,0.547167
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.496833
CEP104,ENST00000378230,0.444451
DFFB,ENST00000378209,0.294296
C1orf174,ENST00000361605,1.180823
AJAP1,ENST00000378191,0.297211
NPHP4,ENST00000378156,0.565025
