gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.568159
KLHL17,ENST00000338591,0.457277
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,2.227421
AGRN,ENST00000379370,1.265908
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.261414
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.128027
SDF4,ENST00000360001,1.6481
B3GALT6,ENST00000379198,0.991757
FAM132A,ENST00000330388,0.037038
UBE2J2,ENST00000349431,0.893065
SCNN1D,ENST00000379116,0.134329
ACAP3,ENST00000354700,0.930339
PUSL1,ENST00000379031,0.681168
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.801689
TAS1R3,ENST00000339381,0.2205
DVL1,ENST00000378888,0.151608
MXRA8,ENST00000309212,0.527963
CCNL2,ENST00000400809,0.031184
MRPL20,ENST00000344843,8.957244
VWA1,ENST00000476993,0.246736
ATAD3A,ENST00000378756,1.294695
TMEM240,ENST00000378733,0.114515
SSU72,ENST00000291386,5.008564
C1orf233,ENST00000422725,0.027591
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.783936
CDK11A,ENST00000404249,0.424368
NADK,ENST00000341426,0.101736
GNB1,ENST00000378609,15.39272
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.037706
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0.661721
SKI,ENST00000378536,1.18272
MORN1,ENST00000378531,0.336872
RER1,ENST00000605895,3.455741
PEX10,ENST00000447513,1.176263
PLCH2,ENST00000378486,0.426802
PANK4,ENST00000378466,0.872549
HES5,ENST00000378453,21.583615000000002
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.163371
ARHGEF16,ENST00000378378,0.007288
MEGF6,ENST00000356575,0.149277
TPRG1L,ENST00000378344,1.550557
WRAP73,ENST00000270708,0.588443
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0.013788
LRRC47,ENST00000378251,2.439623
CEP104,ENST00000378230,0.755035
DFFB,ENST00000378209,0.281886
C1orf174,ENST00000361605,1.77704
AJAP1,ENST00000378191,0.46395
NPHP4,ENST00000378156,0.21772
CHD5,ENST00000262450,0.144265
RPL22,ENST00000234875,16.871433
RNF207,ENST00000377939,0.214969
ICMT,ENST00000343813,2.163087
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.29366
ACOT7,ENST00000361521,0.134698
HES2,ENST00000377834,0.003223
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
