gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.184789
KLHL17,ENST00000338591,0
PLEKHN1,ENST00000379410,0.312006
HES4,ENST00000304952,1.404987
AGRN,ENST00000379370,0.258087
RNF223,ENST00000453464,0.553145
C1orf159,ENST00000421241,0
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,0
B3GALT6,ENST00000379198,0.714587
FAM132A,ENST00000330388,1.814534
UBE2J2,ENST00000349431,1.846176
SCNN1D,ENST00000379116,0
ACAP3,ENST00000354700,0
PUSL1,ENST00000379031,0
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,23.630439
TAS1R3,ENST00000339381,45.577166
DVL1,ENST00000378888,0
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0
MRPL20,ENST00000344843,14.269603
VWA1,ENST00000476993,0.645705
ATAD3A,ENST00000378756,0
TMEM240,ENST00000378733,0.806751
SSU72,ENST00000291386,0
C1orf233,ENST00000422725,1.461187
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0
CDK11A,ENST00000404249,3.087832
NADK,ENST00000341426,0
GNB1,ENST00000378609,0
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0
SKI,ENST00000378536,1.408841
MORN1,ENST00000378531,0
RER1,ENST00000605895,0
PEX10,ENST00000447513,0
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,0
HES5,ENST00000378453,5.097164
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.108089
ARHGEF16,ENST00000378378,0
MEGF6,ENST00000356575,0.25389
TPRG1L,ENST00000378344,0
WRAP73,ENST00000270708,0
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,0.225269
CEP104,ENST00000378230,0
DFFB,ENST00000378209,0
C1orf174,ENST00000361605,0
AJAP1,ENST00000378191,0
NPHP4,ENST00000378156,0
CHD5,ENST00000262450,0.095119
RPL22,ENST00000234875,1.151993
RNF207,ENST00000377939,0.734117
ICMT,ENST00000343813,9.240899
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.462518
ACOT7,ENST00000361521,6.283774
HES2,ENST00000377834,0
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,0.286372
TAS1R1,ENST00000333172,5.239723
ZBTB48,ENST00000377674,0
KLHL21,ENST00000377658,0
PHF13,ENST00000377648,0.26995
DNAJC11,ENST00000377577,1.873183
CAMTA1,ENST00000303635,0.792646
VAMP3,ENST00000054666,2.367138
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,0
ERRFI1,ENST00000377482,0.746757
SLC45A1,ENST00000471889,0
RERE,ENST00000400908,0
ENO1,ENST00000234590,4.768887
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0
GPR157,ENST00000377411,0.184568
H6PD,ENST00000377403,0
SPSB1,ENST00000328089,0.319651
SLC25A33,ENST00000302692,0.505112
TMEM201,ENST00000340381,0
PIK3CD,ENST00000377346,4.42205
CLSTN1,ENST00000377298,1.195573
CTNNBIP1,ENST00000377263,0.331245
LZIC,ENST00000377223,0.249461
NMNAT1,ENST00000377205,0.273826
RBP7,ENST00000294435,0
UBE4B,ENST00000343090,0.484393
PGD,ENST00000270776,0
APITD1,ENST00000309048,4.843379
CORT,ENST00000377049,28.398431
DFFA,ENST00000377038,0.157836
PEX14,ENST00000356607,0.545871
CASZ1,ENST00000377022,0.950675
TARDBP,ENST00000240185,1.249061
MASP2,ENST00000400897,44.709937
SRM,ENST00000376957,0
EXOSC10,ENST00000376936,0
MTOR,ENST00000361445,0.189778
ANGPTL7,ENST00000376819,11.560023
UBIAD1,ENST00000376810,0.537676
PTCHD2,ENST00000294484,0
FBXO2,ENST00000354287,0.879809
FBXO44,ENST00000251547,0
FBXO6,ENST00000376753,6.551469
MAD2L2,ENST00000376692,0
DRAXIN,ENST00000294485,0.128336
AGTRAP,ENST00000314340,0
MTHFR,ENST00000376590,3.335434
CLCN6,ENST00000346436,0
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,1.23916
PLOD1,ENST00000196061,0
MFN2,ENST00000235329,0
MIIP,ENST00000235332,0
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,0
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0
KAZN,ENST00000376030,3.306565
TMEM51,ENST00000376008,0
EFHD2,ENST00000375980,0
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0
