gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,3.054159
KLHL17,ENST00000338591,0.382851
PLEKHN1,ENST00000379410,0.024145
HES4,ENST00000304952,2.136142
AGRN,ENST00000379370,2.465756
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.24594
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,2.948602
B3GALT6,ENST00000379198,0.983153
FAM132A,ENST00000330388,0.052391
UBE2J2,ENST00000349431,0.6311
SCNN1D,ENST00000379116,0.273702
ACAP3,ENST00000354700,1.488144
PUSL1,ENST00000379031,1.068295
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,1.079936
TAS1R3,ENST00000339381,0.208575
DVL1,ENST00000378888,0
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.148453
MRPL20,ENST00000344843,8.307179
VWA1,ENST00000476993,0.354492
ATAD3A,ENST00000378756,0.996594
TMEM240,ENST00000378733,0.206135
SSU72,ENST00000291386,6.241989
C1orf233,ENST00000422725,0.432098
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.847911
CDK11A,ENST00000404249,0.435721
NADK,ENST00000341426,0
GNB1,ENST00000378609,17.128306
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0.155181
PRKCZ,ENST00000378567,0.018792
C1orf86,ENST00000378546,1.515272
SKI,ENST00000378536,2.70385
MORN1,ENST00000378531,0.58036
RER1,ENST00000605895,4.65234
PEX10,ENST00000447513,1.64812
PLCH2,ENST00000378486,0.316874
PANK4,ENST00000378466,0.665434
HES5,ENST00000378453,0.127739
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0.023118
PRDM16,ENST00000270722,0.352509
ARHGEF16,ENST00000378378,0.016982
MEGF6,ENST00000356575,0.051478
TPRG1L,ENST00000378344,2.220588
WRAP73,ENST00000270708,0.526257
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0.00732
LRRC47,ENST00000378251,2.104556
CEP104,ENST00000378230,0.895832
DFFB,ENST00000378209,0.288945
C1orf174,ENST00000361605,1.390712
AJAP1,ENST00000378191,0.856426
NPHP4,ENST00000378156,0
CHD5,ENST00000262450,0.330173
RPL22,ENST00000234875,23.450286
RNF207,ENST00000377939,0.168714
ICMT,ENST00000343813,1.906763
HES3,ENST00000377898,0.029787
GPR153,ENST00000377893,0.98408
ACOT7,ENST00000361521,0.157649
HES2,ENST00000377834,0.003422
TNFRSF25,ENST00000356876,0.062285
PLEKHG5,ENST00000377728,0.068108
NOL9,ENST00000377705,1.18329
TAS1R1,ENST00000333172,0.04368
ZBTB48,ENST00000377674,0.141666
KLHL21,ENST00000377658,2.092911
PHF13,ENST00000377648,1.647992
DNAJC11,ENST00000377577,2.179995
CAMTA1,ENST00000303635,1.140122
VAMP3,ENST00000054666,8.843089
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
