gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.060411
KLHL17,ENST00000338591,0.140588
PLEKHN1,ENST00000379410,0.026503
HES4,ENST00000304952,0.450602
AGRN,ENST00000379370,0.974656
RNF223,ENST00000453464,0.010509
C1orf159,ENST00000421241,0.167374
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,1.326074
B3GALT6,ENST00000379198,0.889201
FAM132A,ENST00000330388,0.025248
UBE2J2,ENST00000349431,0.931647
SCNN1D,ENST00000379116,0.212496
ACAP3,ENST00000354700,0.577117
PUSL1,ENST00000379031,0.566566
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.821302
TAS1R3,ENST00000339381,0.123695
DVL1,ENST00000378888,0.172842
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.253962
MRPL20,ENST00000344843,5.858231
VWA1,ENST00000476993,0.17125
ATAD3A,ENST00000378756,0.210547
TMEM240,ENST00000378733,0.075721
SSU72,ENST00000291386,3.781223
C1orf233,ENST00000422725,0.009253
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.58363
CDK11A,ENST00000404249,0.626007
NADK,ENST00000341426,0
GNB1,ENST00000378609,15.841074
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.025291
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0.026805
C1orf86,ENST00000378546,0
SKI,ENST00000378536,2.136413
MORN1,ENST00000378531,0.279305
RER1,ENST00000605895,3.535362
PEX10,ENST00000447513,0.35422
PLCH2,ENST00000378486,0.051174
PANK4,ENST00000378466,0.81489
HES5,ENST00000378453,0.823098
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0.014581
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.230157
ARHGEF16,ENST00000378378,0.030782
MEGF6,ENST00000356575,0.045735
TPRG1L,ENST00000378344,1.636603
WRAP73,ENST00000270708,0.472186
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.428184
CEP104,ENST00000378230,0.580575
DFFB,ENST00000378209,0
C1orf174,ENST00000361605,1.400724
AJAP1,ENST00000378191,0.101608
NPHP4,ENST00000378156,0.201111
CHD5,ENST00000262450,0.115786
RPL22,ENST00000234875,11.968734
RNF207,ENST00000377939,0.037191
ICMT,ENST00000343813,1.449606
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.140589
ACOT7,ENST00000361521,0.013076
HES2,ENST00000377834,0.281018
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0.338303
NOL9,ENST00000377705,1.325955
TAS1R1,ENST00000333172,0
ZBTB48,ENST00000377674,0.033363
KLHL21,ENST00000377658,1.915162
PHF13,ENST00000377648,1.605211
DNAJC11,ENST00000377577,2.11778
CAMTA1,ENST00000303635,0.764076
VAMP3,ENST00000054666,8.139726
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0.120267
PARK7,ENST00000338639,2.494933
ERRFI1,ENST00000377482,8.32326
SLC45A1,ENST00000471889,0
RERE,ENST00000400908,0.731556
ENO1,ENST00000234590,121.149362
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,2.110033
GPR157,ENST00000377411,0.405213
H6PD,ENST00000377403,1.376633
SPSB1,ENST00000328089,2.873506
SLC25A33,ENST00000302692,0.371623
TMEM201,ENST00000340381,0.126499
PIK3CD,ENST00000377346,0.283411
CLSTN1,ENST00000377298,0.149828
CTNNBIP1,ENST00000377263,1.253946
LZIC,ENST00000377223,1.883489
NMNAT1,ENST00000377205,0.846654
RBP7,ENST00000294435,0.230713
UBE4B,ENST00000343090,0.669592
PGD,ENST00000270776,3.747371
APITD1,ENST00000309048,0.271454
CORT,ENST00000377049,0.246137
DFFA,ENST00000377038,2.569707
PEX14,ENST00000356607,0.912465
CASZ1,ENST00000377022,0.193665
TARDBP,ENST00000240185,1.724894
MASP2,ENST00000400897,0.699962
SRM,ENST00000376957,2.004672
EXOSC10,ENST00000376936,4.644128
MTOR,ENST00000361445,2.263886
ANGPTL7,ENST00000376819,0.096631
UBIAD1,ENST00000376810,0.874944
PTCHD2,ENST00000294484,0.233297
FBXO2,ENST00000354287,0.209456
