gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,7.326077
KLHL17,ENST00000338591,0.080493
PLEKHN1,ENST00000379410,0.004173
HES4,ENST00000304952,1.357796
AGRN,ENST00000379370,3.718159
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.176794
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,1.695267
B3GALT6,ENST00000379198,2.51376
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,1.300225
SCNN1D,ENST00000379116,0.119587
ACAP3,ENST00000354700,1.872339
PUSL1,ENST00000379031,0.964576
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.911959
TAS1R3,ENST00000339381,0.174178
DVL1,ENST00000378888,0
MXRA8,ENST00000309212,0.808984
CCNL2,ENST00000400809,0.74551
MRPL20,ENST00000344843,19.917228
VWA1,ENST00000476993,0.669156
ATAD3A,ENST00000378756,3.411062
TMEM240,ENST00000378733,0.126127
SSU72,ENST00000291386,9.504188
C1orf233,ENST00000422725,0.097721
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,1.089658
CDK11A,ENST00000404249,1.2164
NADK,ENST00000341426,0.179924
GNB1,ENST00000378609,27.485668
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.035613
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0.028593
C1orf86,ENST00000378546,0.903297
SKI,ENST00000378536,2.223628
MORN1,ENST00000378531,0.110027
RER1,ENST00000605895,6.503365
PEX10,ENST00000447513,0.694899
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,0.90344
HES5,ENST00000378453,3.29525
FAM213B,ENST00000419916,0.428272
MMEL1,ENST00000378412,0.038014
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.128661
ARHGEF16,ENST00000378378,0.06748
MEGF6,ENST00000356575,0.161331
TPRG1L,ENST00000378344,1.214704
WRAP73,ENST00000270708,1.148791
TP73,ENST00000378295,0.400124
CCDC27,ENST00000294600,0.006511
LRRC47,ENST00000378251,3.05845
CEP104,ENST00000378230,0.673747
DFFB,ENST00000378209,0.548717
C1orf174,ENST00000361605,3.067589
AJAP1,ENST00000378191,0.02541
NPHP4,ENST00000378156,0.420196
CHD5,ENST00000262450,0.004925
RPL22,ENST00000234875,28.597499
RNF207,ENST00000377939,0.092316
ICMT,ENST00000343813,3.886866
HES3,ENST00000377898,0
