gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,4.550665
KLHL17,ENST00000338591,0.267863
PLEKHN1,ENST00000379410,0.105352
HES4,ENST00000304952,1.370845
AGRN,ENST00000379370,10.209416
RNF223,ENST00000453464,0.007948
C1orf159,ENST00000421241,0.574475
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,1.789727
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,3.689181
B3GALT6,ENST00000379198,2.130582
FAM132A,ENST00000330388,0.145311
UBE2J2,ENST00000349431,1.244399
SCNN1D,ENST00000379116,0.269781
ACAP3,ENST00000354700,1.484104
PUSL1,ENST00000379031,0.835359
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,2.127507
TAS1R3,ENST00000339381,0.362023
DVL1,ENST00000378888,0.180533
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.883101
MRPL20,ENST00000344843,11.239996
VWA1,ENST00000476993,1.070413
ATAD3A,ENST00000378756,0.599092
TMEM240,ENST00000378733,0.155159
SSU72,ENST00000291386,10.065319
C1orf233,ENST00000422725,0.734851
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,1.160504
CDK11A,ENST00000404249,0.053248
NADK,ENST00000341426,0.09798
GNB1,ENST00000378609,26.172633
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.047275
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0.045003
C1orf86,ENST00000378546,1.496305
SKI,ENST00000378536,6.048939
MORN1,ENST00000378531,0.510174
RER1,ENST00000605895,5.637142
PEX10,ENST00000447513,2.936434
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,0.600381
HES5,ENST00000378453,0.524893
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0.101329
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.069496
ARHGEF16,ENST00000378378,0.105082
MEGF6,ENST00000356575,0.115766
TPRG1L,ENST00000378344,1.53065
WRAP73,ENST00000270708,0.743346
TP73,ENST00000378295,0.466516
CCDC27,ENST00000294600,0.01399
LRRC47,ENST00000378251,2.871264
CEP104,ENST00000378230,1.192138
DFFB,ENST00000378209,0.197928
C1orf174,ENST00000361605,2.196684
AJAP1,ENST00000378191,0.023249
NPHP4,ENST00000378156,0.840456
CHD5,ENST00000262450,0.176888
RPL22,ENST00000234875,12.6754
RNF207,ENST00000377939,0.174584
ICMT,ENST00000343813,2.805673
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.933957
ACOT7,ENST00000361521,0.124927
HES2,ENST00000377834,0.01635
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,2.36057
