gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,3.052423
KLHL17,ENST00000338591,0.187019
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,0.231093
AGRN,ENST00000379370,0.529734
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.058393
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,2.181206
B3GALT6,ENST00000379198,0.679536
FAM132A,ENST00000330388,0.097075
UBE2J2,ENST00000349431,0.647972
SCNN1D,ENST00000379116,0
ACAP3,ENST00000354700,0.636376
PUSL1,ENST00000379031,0.655773
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.852762
TAS1R3,ENST00000339381,0.160629
DVL1,ENST00000378888,0.279603
MXRA8,ENST00000309212,0.00947
CCNL2,ENST00000400809,0.18284
MRPL20,ENST00000344843,4.006274
VWA1,ENST00000476993,0.577612
ATAD3A,ENST00000378756,0
TMEM240,ENST00000378733,0.063864
SSU72,ENST00000291386,4.689577
C1orf233,ENST00000422725,0.099799
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.759398
CDK11A,ENST00000404249,0.060467
NADK,ENST00000341426,0
GNB1,ENST00000378609,10.94786
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0
SKI,ENST00000378536,2.596871
MORN1,ENST00000378531,0
RER1,ENST00000605895,2.691555
PEX10,ENST00000447513,0.234876
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,0.86458
HES5,ENST00000378453,0.129436
FAM213B,ENST00000419916,0.270422
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0
ARHGEF16,ENST00000378378,0
MEGF6,ENST00000356575,0.003654
TPRG1L,ENST00000378344,0.801618
WRAP73,ENST00000270708,0.184377
TP73,ENST00000378295,0.160404
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.481382
CEP104,ENST00000378230,0.582916
DFFB,ENST00000378209,0
C1orf174,ENST00000361605,0.793053
AJAP1,ENST00000378191,0.547907
NPHP4,ENST00000378156,0.180496
CHD5,ENST00000262450,0.78073
RPL22,ENST00000234875,14.021117
RNF207,ENST00000377939,0.067757
ICMT,ENST00000343813,0.832116
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.897887
ACOT7,ENST00000361521,0.059744
HES2,ENST00000377834,0.001196
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,1.175355
TAS1R1,ENST00000333172,0
ZBTB48,ENST00000377674,0.173489
KLHL21,ENST00000377658,2.002253
PHF13,ENST00000377648,1.161573
DNAJC11,ENST00000377577,1.456628
CAMTA1,ENST00000303635,0.385808
VAMP3,ENST00000054666,3.687346
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0.007658
PARK7,ENST00000338639,2.356935
ERRFI1,ENST00000377482,0.55493
SLC45A1,ENST00000471889,0.115777
RERE,ENST00000400908,0.791198
ENO1,ENST00000234590,54.303754
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.330131
GPR157,ENST00000377411,0.043656
H6PD,ENST00000377403,0.534529
SPSB1,ENST00000328089,1.26951
SLC25A33,ENST00000302692,0.341354
TMEM201,ENST00000340381,0.089623
PIK3CD,ENST00000377346,0.371648
CLSTN1,ENST00000377298,0.457109
CTNNBIP1,ENST00000377263,0.830851
LZIC,ENST00000377223,1.662414
NMNAT1,ENST00000377205,0.225702
RBP7,ENST00000294435,0.192322
UBE4B,ENST00000343090,0.500372
PGD,ENST00000270776,2.931105
APITD1,ENST00000309048,0.138967
CORT,ENST00000377049,0.258921
DFFA,ENST00000377038,1.977286
PEX14,ENST00000356607,0.789168
CASZ1,ENST00000377022,0.018134
TARDBP,ENST00000240185,0.571315
MASP2,ENST00000400897,0.275658
SRM,ENST00000376957,4.273847
EXOSC10,ENST00000376936,1.850055
MTOR,ENST00000361445,0.858341
ANGPTL7,ENST00000376819,0.051017
UBIAD1,ENST00000376810,0.723675
PTCHD2,ENST00000294484,0.109852
FBXO2,ENST00000354287,1.061832
FBXO44,ENST00000251547,0.195329
FBXO6,ENST00000376753,0.677543
MAD2L2,ENST00000376692,3.461836
DRAXIN,ENST00000294485,4.204023
AGTRAP,ENST00000314340,0.610051
MTHFR,ENST00000376590,0.085193
CLCN6,ENST00000346436,2.035112
NPPA,ENST00000376480,0.19473
NPPB,ENST00000376468,0.073173
KIAA2013,ENST00000376572,1.057275
PLOD1,ENST00000196061,9.787124
MFN2,ENST00000235329,2.900426
MIIP,ENST00000235332,0.989554
TNFRSF8,ENST00000263932,0.002495
TNFRSF1B,ENST00000376259,1.01738
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0.007501
KAZN,ENST00000376030,0.930644
TMEM51,ENST00000376008,0
EFHD2,ENST00000375980,0.629288
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.101559
DNAJC16,ENST00000375847,1.056863
AGMAT,ENST00000375826,0.040461
DDI2,ENST00000480945,0.641391
PLEKHM2,ENST00000375799,0
SLC25A34,ENST00000294454,0.066668
TMEM82,ENST00000375782,0
FBLIM1,ENST00000375766,1.374563
SPEN,ENST00000375759,5.65055
ZBTB17,ENST00000375743,0.945969
C1orf64,ENST00000329454,0.029235
HSPB7,ENST00000311890,0
CLCNKA,ENST00000331433,0
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.003262
EPHA2,ENST00000358432,0.104357
ARHGEF19,ENST00000270747,0.010739
RSG1,ENST00000375599,0.463395
FBXO42,ENST00000375592,0.907768
SZRD1,ENST00000401088,0.35986
NECAP2,ENST00000337132,1.290337
CROCC,ENST00000375541,0.270073
MFAP2,ENST00000375535,1.058246
ATP13A2,ENST00000326735,0.428261
SDHB,ENST00000375499,0.583769
PADI2,ENST00000375486,0.457925
PADI1,ENST00000375471,0
PADI3,ENST00000375460,0
PADI4,ENST00000375448,0.004755
RCC2,ENST00000375436,2.011885
ARHGEF10L,ENST00000361221,0.220884
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,0.599602
PAX7,ENST00000420770,8.05e-4
ALDH4A1,ENST00000375341,0.130962
IFFO2,ENST00000455833,0.929551
UBR4,ENST00000375254,1.766001
EMC1,ENST00000477853,0.60168
MRTO4,ENST00000330263,1.054193
AKR7A3,ENST00000361640,0.09107
PQLC2,ENST00000375153,0.196979
CAPZB,ENST00000264202,1.98245
MINOS1,ENST00000322753,0.504881
NBL1,ENST00000375136,0.437275
HTR6,ENST00000289753,0.001351
RNF186,ENST00000375121,0
OTUD3,ENST00000375120,0.287999
PLA2G2E,ENST00000375116,0
PLA2G5,ENST00000375108,0.032141
PLA2G2D,ENST00000375105,0
PLA2G2F,ENST00000375102,0.001939
UBXN10,ENST00000375099,0.007225
CAMK2N1,ENST00000375078,1.196952
MUL1,ENST00000264198,0.7905
FAM43B,ENST00000332947,0.04582
CDA,ENST00000375071,0.04284
PINK1,ENST00000321556,1.78674
DDOST,ENST00000602624,2.856626
KIF17,ENST00000400463,0
SH2D5,ENST00000444387,0.018844
HP1BP3,ENST00000438032,0
ECE1,ENST00000374893,0
NBPF3,ENST00000318249,0.058998
ALPL,ENST00000374840,0.348304
USP48,ENST00000308271,0.19756
LDLRAD2,ENST00000344642,0.075766
HSPG2,ENST00000374695,0.352392
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,0.025803
ZBTB40,ENST00000375647,0.9198
EPHA8,ENST00000166244,0.004024
C1QA,ENST00000374642,3.747546
C1QC,ENST00000374640,6.553737
C1QB,ENST00000509305,0.800839
EPHB2,ENST00000374630,0.768561
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,0.723464
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,1.545061
TCEA3,ENST00000450454,0.4325
ASAP3,ENST00000336689,0.781617
E2F2,ENST00000361729,0.010669
ID3,ENST00000374561,6.154725
PITHD1,ENST00000246151,1.450384
LYPLA2,ENST00000374514,0.997002
HMGCL,ENST00000374490,0.195853
FUCA1,ENST00000374479,0.154776
CNR2,ENST00000374472,0
PNRC2,ENST00000334351,2.528156
SRSF10,ENST00000492112,0.448424
MYOM3,ENST00000374434,0.003483
IL22RA1,ENST00000270800,0
IFNLR1,ENST00000327535,0.017816
GRHL3,ENST00000361548,0
STPG1,ENST00000337248,0.072505
NIPAL3,ENST00000374399,0.765611
RCAN3,ENST00000374395,0.024665
NCMAP,ENST00000374392,0
SRRM1,ENST00000323848,1.232044
CLIC4,ENST00000374379,7.10425
RUNX3,ENST00000308873,0.224934
SYF2,ENST00000236273,0.897265
C1orf63,ENST00000243189,0.924856
TMEM50A,ENST00000374358,1.479544
TMEM57,ENST00000374343,0.446818
LDLRAP1,ENST00000374338,0.051104
SEPN1,ENST00000361547,0.419235
MTFR1L,ENST00000374303,1.343218
AUNIP,ENST00000374298,0.021112
STMN1,ENST00000455785,2.264389
PAFAH2,ENST00000374282,0.22728
EXTL1,ENST00000374280,0.029264
SLC30A2,ENST00000374276,0
TRIM63,ENST00000374272,0
PDIK1L,ENST00000374269,0.250428
FAM110D,ENST00000374268,0.022579
ZNF593,ENST00000374266,0.856533
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,0.154031
SH3BGRL3,ENST00000270792,6.94847
CD52,ENST00000374213,0.066028
ZNF683,ENST00000349618,0
LIN28A,ENST00000326279,0
DHDDS,ENST00000236342,0.218951
HMGN2,ENST00000361427,0.365492
RPS6KA1,ENST00000374168,0.34871
ARID1A,ENST00000324856,0.155007
ZDHHC18,ENST00000374142,0.477556
SFN,ENST00000339276,0.018123
GPN2,ENST00000374135,0.429269
GPATCH3,ENST00000361720,0.277589
NR0B2,ENST00000254227,0
NUDC,ENST00000321265,4.379668
C1orf172,ENST00000320567,0
TRNP1,ENST00000522111,0.717465
FAM46B,ENST00000289166,0.060735
SLC9A1,ENST00000263980,0.136418
WDTC1,ENST00000319394,0.08393
MAP3K6,ENST00000357582,0.045468
FCN3,ENST00000270879,0
