gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,10.225914
KLHL17,ENST00000338591,0.37976
PLEKHN1,ENST00000379410,0.024059
HES4,ENST00000304952,1.013917
AGRN,ENST00000379370,3.362669
RNF223,ENST00000453464,0.015233
C1orf159,ENST00000421241,0.586849
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,3.007636
B3GALT6,ENST00000379198,2.534662
FAM132A,ENST00000330388,0.02689
UBE2J2,ENST00000349431,1.762003
SCNN1D,ENST00000379116,0.075434
ACAP3,ENST00000354700,2.208256
PUSL1,ENST00000379031,4.137785
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,1.154934
TAS1R3,ENST00000339381,0.15436
DVL1,ENST00000378888,0.030245
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.868723
MRPL20,ENST00000344843,16.871525
VWA1,ENST00000476993,0.192613
ATAD3A,ENST00000378756,2.065745
TMEM240,ENST00000378733,0.037294
SSU72,ENST00000291386,12.315127
C1orf233,ENST00000422725,1.534475
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.756847
CDK11A,ENST00000404249,0.961502
NADK,ENST00000341426,0
GNB1,ENST00000378609,19.186646
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,1.032796
SKI,ENST00000378536,1.002618
MORN1,ENST00000378531,0.291402
RER1,ENST00000605895,4.809257
PEX10,ENST00000447513,0.939714
PLCH2,ENST00000378486,0.341606
PANK4,ENST00000378466,1.723875
HES5,ENST00000378453,8.099415
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0.043578
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.039722
ARHGEF16,ENST00000378378,0.180919
MEGF6,ENST00000356575,0.262215
TPRG1L,ENST00000378344,1.641428
WRAP73,ENST00000270708,1.160057
TP73,ENST00000378295,0.088684
CCDC27,ENST00000294600,0.002681
LRRC47,ENST00000378251,3.686803
CEP104,ENST00000378230,0.58055
DFFB,ENST00000378209,0.778118
C1orf174,ENST00000361605,3.91344
AJAP1,ENST00000378191,0.004668
NPHP4,ENST00000378156,0.444617
CHD5,ENST00000262450,0.31012
RPL22,ENST00000234875,23.79366
RNF207,ENST00000377939,0.301666
ICMT,ENST00000343813,1.617625
HES3,ENST00000377898,0.021822
GPR153,ENST00000377893,0.998605
ACOT7,ENST00000361521,0.165389
HES2,ENST00000377834,0.016294
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0.202472
NOL9,ENST00000377705,1.786095
TAS1R1,ENST00000333172,0.022486
ZBTB48,ENST00000377674,0.209604
KLHL21,ENST00000377658,1.204815
PHF13,ENST00000377648,1.812453
DNAJC11,ENST00000377577,3.850004
CAMTA1,ENST00000303635,0.276504
VAMP3,ENST00000054666,2.260894
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,2.267124
ERRFI1,ENST00000377482,3.698768
