gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,4.850445
KLHL17,ENST00000338591,0.239512
PLEKHN1,ENST00000379410,0.043015
HES4,ENST00000304952,0.519952
AGRN,ENST00000379370,8.538704
RNF223,ENST00000453464,0.008228
C1orf159,ENST00000421241,0.353513
TTLL10,ENST00000379289,0.003379
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.008223
SDF4,ENST00000360001,3.684851
B3GALT6,ENST00000379198,2.428731
FAM132A,ENST00000330388,0.010612
UBE2J2,ENST00000349431,1.035273
SCNN1D,ENST00000379116,0.275072
ACAP3,ENST00000354700,1.712065
PUSL1,ENST00000379031,1.203961
CPSF3L,ENST00000435064,1.456117
GLTPD1,ENST00000343938,2.031988
TAS1R3,ENST00000339381,0.174746
DVL1,ENST00000378888,0.343859
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.774712
MRPL20,ENST00000344843,14.749038
VWA1,ENST00000476993,0.093527
ATAD3A,ENST00000378756,1.503848
TMEM240,ENST00000378733,0.008488
SSU72,ENST00000291386,6.614783
C1orf233,ENST00000422725,0
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.274107
CDK11A,ENST00000404249,0.25091
NADK,ENST00000341426,2.539048
GNB1,ENST00000378609,8.929492
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,2.548687
SKI,ENST00000378536,1.159347
MORN1,ENST00000378531,0.125503
RER1,ENST00000605895,3.140913
PEX10,ENST00000447513,1.472607
PLCH2,ENST00000378486,0.006415
PANK4,ENST00000378466,0.508681
HES5,ENST00000378453,0.025272
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0.003007
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.147477
ARHGEF16,ENST00000378378,0.037047
MEGF6,ENST00000356575,0.048228
TPRG1L,ENST00000378344,2.038846
WRAP73,ENST00000270708,1.101403
TP73,ENST00000378295,0.434772
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.816243
CEP104,ENST00000378230,0.418403
DFFB,ENST00000378209,0.26194
C1orf174,ENST00000361605,1.943795
AJAP1,ENST00000378191,0.078538
NPHP4,ENST00000378156,0.496565
CHD5,ENST00000262450,0.043652
RPL22,ENST00000234875,12.90862
RNF207,ENST00000377939,0.106054
ICMT,ENST00000343813,3.490308
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.047428
ACOT7,ENST00000361521,0.018448
HES2,ENST00000377834,0.036396
TNFRSF25,ENST00000356876,0.236246
PLEKHG5,ENST00000377728,0.172831
NOL9,ENST00000377705,1.36403
TAS1R1,ENST00000333172,0.013625
ZBTB48,ENST00000377674,0.189804
KLHL21,ENST00000377658,3.949455
PHF13,ENST00000377648,2.561786
DNAJC11,ENST00000377577,2.664016
CAMTA1,ENST00000303635,0.045633
VAMP3,ENST00000054666,12.908396
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,2.690038
ERRFI1,ENST00000377482,5.617807
SLC45A1,ENST00000471889,0.047537
RERE,ENST00000400908,0.07728
ENO1,ENST00000234590,118.482441
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.001771
GPR157,ENST00000377411,0.16733
H6PD,ENST00000377403,2.241931
SPSB1,ENST00000328089,1.036266
SLC25A33,ENST00000302692,0.353951
TMEM201,ENST00000340381,0.432978
PIK3CD,ENST00000377346,0.243002
CLSTN1,ENST00000377298,0.264994
CTNNBIP1,ENST00000377263,1.382315
LZIC,ENST00000377223,1.069237
NMNAT1,ENST00000377205,1.077244
RBP7,ENST00000294435,0
UBE4B,ENST00000343090,0.454131
PGD,ENST00000270776,12.851355
APITD1,ENST00000309048,0.914375
CORT,ENST00000377049,0.053859
DFFA,ENST00000377038,2.135013
PEX14,ENST00000356607,1.627079
CASZ1,ENST00000377022,0.181759
TARDBP,ENST00000240185,0.337045
MASP2,ENST00000400897,0.159997
SRM,ENST00000376957,5.540736
EXOSC10,ENST00000376936,5.915015
MTOR,ENST00000361445,3.654708
ANGPTL7,ENST00000376819,1.07576
UBIAD1,ENST00000376810,0.643705
PTCHD2,ENST00000294484,0.19737
FBXO2,ENST00000354287,0.724187
FBXO44,ENST00000251547,0.486952
FBXO6,ENST00000376753,0.716411
MAD2L2,ENST00000376692,6.472069
DRAXIN,ENST00000294485,2.906334
AGTRAP,ENST00000314340,3.485632
MTHFR,ENST00000376590,0.037789
CLCN6,ENST00000346436,0.426597
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,2.088551
PLOD1,ENST00000196061,7.255196
MFN2,ENST00000235329,4.852734
MIIP,ENST00000235332,1.661922
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,0.282504
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0.007916
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0
KAZN,ENST00000376030,0.137432
TMEM51,ENST00000376008,0.110438
EFHD2,ENST00000375980,1.615939
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.099929
DNAJC16,ENST00000375847,1.121954
AGMAT,ENST00000375826,0.150349
DDI2,ENST00000480945,0.624803
PLEKHM2,ENST00000375799,0.485266
SLC25A34,ENST00000294454,0.206935
TMEM82,ENST00000375782,0.005688
FBLIM1,ENST00000375766,4.485066
SPEN,ENST00000375759,0.917151
ZBTB17,ENST00000375743,1.266769
C1orf64,ENST00000329454,0.004869
HSPB7,ENST00000311890,0.010279
CLCNKA,ENST00000331433,0.008113
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.032321
EPHA2,ENST00000358432,0.531404
ARHGEF19,ENST00000270747,0.051866
RSG1,ENST00000375599,0.604867
FBXO42,ENST00000375592,0.874454
SZRD1,ENST00000401088,0.884818
NECAP2,ENST00000337132,5.85896
CROCC,ENST00000375541,0.514185
MFAP2,ENST00000375535,0.062512
ATP13A2,ENST00000326735,0.824621
SDHB,ENST00000375499,2.901426
PADI2,ENST00000375486,0.018169
PADI1,ENST00000375471,0
PADI3,ENST00000375460,0.030032
PADI4,ENST00000375448,0
RCC2,ENST00000375436,6.029181
ARHGEF10L,ENST00000361221,0.332571
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,0
PAX7,ENST00000420770,0
ALDH4A1,ENST00000375341,1.73473
IFFO2,ENST00000455833,1.10137
UBR4,ENST00000375254,1.873762
EMC1,ENST00000477853,0.655521
MRTO4,ENST00000330263,2.154228
AKR7A3,ENST00000361640,0.173153
PQLC2,ENST00000375153,0.315663
CAPZB,ENST00000264202,3.817485
MINOS1,ENST00000322753,0.259761
NBL1,ENST00000375136,0.953111
HTR6,ENST00000289753,0.034428
RNF186,ENST00000375121,0.013503
OTUD3,ENST00000375120,0.361822
PLA2G2E,ENST00000375116,0
PLA2G5,ENST00000375108,0
PLA2G2D,ENST00000375105,0.002828
PLA2G2F,ENST00000375102,0
UBXN10,ENST00000375099,0
CAMK2N1,ENST00000375078,1.255641
MUL1,ENST00000264198,2.945566
FAM43B,ENST00000332947,0.126635
CDA,ENST00000375071,0
PINK1,ENST00000321556,4.62491
DDOST,ENST00000602624,13.861194
KIF17,ENST00000400463,0
SH2D5,ENST00000444387,0
HP1BP3,ENST00000438032,0
ECE1,ENST00000374893,1.593709
NBPF3,ENST00000318249,0.185369
ALPL,ENST00000374840,0
USP48,ENST00000308271,0.625461
LDLRAD2,ENST00000344642,0.170622
HSPG2,ENST00000374695,0.666519
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,0.025568
ZBTB40,ENST00000375647,1.143314
EPHA8,ENST00000166244,0.002848
C1QA,ENST00000374642,0
C1QC,ENST00000374640,0
C1QB,ENST00000509305,0
EPHB2,ENST00000374630,0.305216
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,1.870791
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,9.894946
TCEA3,ENST00000450454,0.155103
ASAP3,ENST00000336689,3.71986
E2F2,ENST00000361729,0.468817
ID3,ENST00000374561,76.852003
PITHD1,ENST00000246151,4.636567
LYPLA2,ENST00000374514,2.692429
HMGCL,ENST00000374490,4.024143
FUCA1,ENST00000374479,3.123992
CNR2,ENST00000374472,0
PNRC2,ENST00000334351,7.759106
SRSF10,ENST00000492112,0.687551
MYOM3,ENST00000374434,0.001781
IL22RA1,ENST00000270800,0.092569
IFNLR1,ENST00000327535,0.013303
GRHL3,ENST00000361548,0
STPG1,ENST00000337248,0
NIPAL3,ENST00000374399,2.034621
RCAN3,ENST00000374395,1.149175
NCMAP,ENST00000374392,0
SRRM1,ENST00000323848,1.192702
CLIC4,ENST00000374379,33.668294
RUNX3,ENST00000308873,0
SYF2,ENST00000236273,3.581103
C1orf63,ENST00000243189,1.093792
TMEM50A,ENST00000374358,5.385254
TMEM57,ENST00000374343,0.734982
LDLRAP1,ENST00000374338,0.754284
SEPN1,ENST00000361547,0.510328
MTFR1L,ENST00000374303,2.472576
AUNIP,ENST00000374298,0.159642
STMN1,ENST00000455785,17.407025
PAFAH2,ENST00000374282,0.546278
EXTL1,ENST00000374280,0.010807
SLC30A2,ENST00000374276,0
TRIM63,ENST00000374272,0.008931
PDIK1L,ENST00000374269,0.774368
FAM110D,ENST00000374268,0.007991
ZNF593,ENST00000374266,3.39363
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,1.348575
SH3BGRL3,ENST00000270792,24.173261
CD52,ENST00000374213,0.093467
ZNF683,ENST00000349618,0
LIN28A,ENST00000326279,0
DHDDS,ENST00000236342,0.579296
HMGN2,ENST00000361427,1.154533
RPS6KA1,ENST00000374168,1.760823
ARID1A,ENST00000324856,0.347009
ZDHHC18,ENST00000374142,0.872563
SFN,ENST00000339276,1.795793
GPN2,ENST00000374135,1.079596
GPATCH3,ENST00000361720,0.868462
NR0B2,ENST00000254227,0.01483
NUDC,ENST00000321265,6.104463
C1orf172,ENST00000320567,0
TRNP1,ENST00000522111,1.784842
FAM46B,ENST00000289166,2.203481
SLC9A1,ENST00000263980,0.205291
WDTC1,ENST00000319394,0.307645
MAP3K6,ENST00000357582,0.617613
FCN3,ENST00000270879,0
CD164L2,ENST00000374030,0
GPR3,ENST00000374024,0.197859
FGR,ENST00000374005,0
IFI6,ENST00000361157,10.895957
FAM76A,ENST00000373954,0.805785
STX12,ENST00000373943,4.150388
PPP1R8,ENST00000311772,4.369631
THEMIS2,ENST00000373921,0.172357
RPA2,ENST00000373912,6.63484
SMPDL3B,ENST00000373894,0.016801
XKR8,ENST00000373884,0.00278
EYA3,ENST00000373871,0.324922
PTAFR,ENST00000373857,0.001814
DNAJC8,ENST00000263697,5.136833
