gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,5.791674
KLHL17,ENST00000338591,0.20323
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,0.637817
AGRN,ENST00000379370,10.630244
RNF223,ENST00000453464,0.005063
C1orf159,ENST00000421241,0.743317
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,3.401077
B3GALT6,ENST00000379198,2.433018
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,2.388312
SCNN1D,ENST00000379116,0.028392
ACAP3,ENST00000354700,2.011779
PUSL1,ENST00000379031,2.099662
CPSF3L,ENST00000435064,3.961432
GLTPD1,ENST00000343938,1.875783
TAS1R3,ENST00000339381,0.181371
DVL1,ENST00000378888,0.164138
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.531391
MRPL20,ENST00000344843,21.770338
VWA1,ENST00000476993,0.061128
ATAD3A,ENST00000378756,1.782561
TMEM240,ENST00000378733,0.010326
SSU72,ENST00000291386,13.125283
C1orf233,ENST00000422725,0.080243
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.726897
CDK11A,ENST00000404249,0.23879
NADK,ENST00000341426,0
GNB1,ENST00000378609,19.54465
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0.669217
SKI,ENST00000378536,1.676646
MORN1,ENST00000378531,0
RER1,ENST00000605895,6.42512
PEX10,ENST00000447513,2.472522
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,1.678486
HES5,ENST00000378453,4.610835
FAM213B,ENST00000419916,0.851238
MMEL1,ENST00000378412,0.012924
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.003349
ARHGEF16,ENST00000378378,0.010692
MEGF6,ENST00000356575,0.006971
TPRG1L,ENST00000378344,0.43502
WRAP73,ENST00000270708,1.559451
TP73,ENST00000378295,0.505708
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,2.77193
CEP104,ENST00000378230,0.82011
DFFB,ENST00000378209,0.28045
C1orf174,ENST00000361605,3.478079
AJAP1,ENST00000378191,0.284105
NPHP4,ENST00000378156,0.306391
CHD5,ENST00000262450,0.011318
RPL22,ENST00000234875,20.644756
RNF207,ENST00000377939,0.073587
ICMT,ENST00000343813,6.587014
HES3,ENST00000377898,0
GPR153,ENST00000377893,2.616162
