gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,3.39326
KLHL17,ENST00000338591,0.172656
PLEKHN1,ENST00000379410,0.002831
HES4,ENST00000304952,0.394648
AGRN,ENST00000379370,6.439325
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.204636
TTLL10,ENST00000379289,0.002061
TNFRSF18,ENST00000379268,0.03965
TNFRSF4,ENST00000379236,0.098116
SDF4,ENST00000360001,2.963598
B3GALT6,ENST00000379198,1.805785
FAM132A,ENST00000330388,0.006503
UBE2J2,ENST00000349431,0.894258
SCNN1D,ENST00000379116,0.025012
ACAP3,ENST00000354700,0.595349
PUSL1,ENST00000379031,0.565923
CPSF3L,ENST00000435064,1.321368
GLTPD1,ENST00000343938,0.90407
TAS1R3,ENST00000339381,0.033393
DVL1,ENST00000378888,0.06216
MXRA8,ENST00000309212,0.982504
CCNL2,ENST00000400809,0.238902
MRPL20,ENST00000344843,10.681612
VWA1,ENST00000476993,0.168026
ATAD3A,ENST00000378756,0.544539
TMEM240,ENST00000378733,0.049022
SSU72,ENST00000291386,4.231983
C1orf233,ENST00000422725,0.296105
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.467713
CDK11A,ENST00000404249,0.269971
NADK,ENST00000341426,0
GNB1,ENST00000378609,17.033721
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.020616
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0.005586
C1orf86,ENST00000378546,1.565629
SKI,ENST00000378536,3.282942
MORN1,ENST00000378531,0.043665
RER1,ENST00000605895,4.045504
PEX10,ENST00000447513,1.046225
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,0.829674
HES5,ENST00000378453,0.042396
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.501643
ARHGEF16,ENST00000378378,0.003221
MEGF6,ENST00000356575,0.017667
TPRG1L,ENST00000378344,2.008092
WRAP73,ENST00000270708,0.569643
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0.004417
LRRC47,ENST00000378251,1.506755
CEP104,ENST00000378230,0.310942
DFFB,ENST00000378209,0.192055
C1orf174,ENST00000361605,1.432171
AJAP1,ENST00000378191,0.047889
NPHP4,ENST00000378156,0.251312
CHD5,ENST00000262450,0.28997
RPL22,ENST00000234875,19.042497
RNF207,ENST00000377939,0.107446
ICMT,ENST00000343813,2.142019
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.254832
ACOT7,ENST00000361521,0.011807
HES2,ENST00000377834,0.006195
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0.285663
NOL9,ENST00000377705,1.435642
TAS1R1,ENST00000333172,0.056595
ZBTB48,ENST00000377674,0.020132
KLHL21,ENST00000377658,2.096452
PHF13,ENST00000377648,1.703597
DNAJC11,ENST00000377577,1.804453
CAMTA1,ENST00000303635,0.092794
VAMP3,ENST00000054666,6.579965
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0.005965
PARK7,ENST00000338639,3.006542
ERRFI1,ENST00000377482,12.378277
SLC45A1,ENST00000471889,0.10519
RERE,ENST00000400908,0.510139
ENO1,ENST00000234590,98.89313
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.9004
GPR157,ENST00000377411,0.119927
H6PD,ENST00000377403,0.869856
SPSB1,ENST00000328089,0.387225
SLC25A33,ENST00000302692,0.334936
TMEM201,ENST00000340381,0.103684
PIK3CD,ENST00000377346,0.866549
CLSTN1,ENST00000377298,2.502039
CTNNBIP1,ENST00000377263,2.459043
