gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,5.510033
KLHL17,ENST00000338591,0.387315
PLEKHN1,ENST00000379410,0.075584
HES4,ENST00000304952,0
AGRN,ENST00000379370,30.672146
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.708975
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,8.784258
B3GALT6,ENST00000379198,2.819595
FAM132A,ENST00000330388,0.019984
UBE2J2,ENST00000349431,1.295579
SCNN1D,ENST00000379116,0.018597
ACAP3,ENST00000354700,0.832015
PUSL1,ENST00000379031,1.692014
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,2.493899
TAS1R3,ENST00000339381,0.192304
DVL1,ENST00000378888,0.320656
MXRA8,ENST00000309212,15.972187
CCNL2,ENST00000400809,0.548746
MRPL20,ENST00000344843,11.541477
VWA1,ENST00000476993,0.046231
ATAD3A,ENST00000378756,2.664765
TMEM240,ENST00000378733,0.058556
SSU72,ENST00000291386,6.535383
C1orf233,ENST00000422725,0.123195
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.630277
CDK11A,ENST00000404249,0.435599
NADK,ENST00000341426,1.970002
GNB1,ENST00000378609,11.606079
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.021647
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,3.766946
SKI,ENST00000378536,1.243765
MORN1,ENST00000378531,0
RER1,ENST00000605895,3.686804
PEX10,ENST00000447513,0.89842
PLCH2,ENST00000378486,2.006671
PANK4,ENST00000378466,0.548521
HES5,ENST00000378453,0.024557
FAM213B,ENST00000419916,1.034662
MMEL1,ENST00000378412,0.002701
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0
ARHGEF16,ENST00000378378,0.12296
MEGF6,ENST00000356575,1.222117
TPRG1L,ENST00000378344,2.560762
WRAP73,ENST00000270708,0.407492
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.565118
CEP104,ENST00000378230,0.46796
DFFB,ENST00000378209,0.082441
C1orf174,ENST00000361605,1.898423
AJAP1,ENST00000378191,0.008843
NPHP4,ENST00000378156,0.089162
CHD5,ENST00000262450,0
RPL22,ENST00000234875,5.284716
RNF207,ENST00000377939,0.155798
ICMT,ENST00000343813,3.8589
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.178822
ACOT7,ENST00000361521,0.017835
HES2,ENST00000377834,0
TNFRSF25,ENST00000356876,0.048973
PLEKHG5,ENST00000377728,0.336906
NOL9,ENST00000377705,1.122355
TAS1R1,ENST00000333172,0
ZBTB48,ENST00000377674,0.108754
KLHL21,ENST00000377658,1.297621
PHF13,ENST00000377648,1.042837
DNAJC11,ENST00000377577,2.925515
CAMTA1,ENST00000303635,0
VAMP3,ENST00000054666,7.454322
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,2.77305
ERRFI1,ENST00000377482,2.345831
SLC45A1,ENST00000471889,0.021706
RERE,ENST00000400908,0.184773
ENO1,ENST00000234590,168.155165
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.006882
GPR157,ENST00000377411,0.437784
H6PD,ENST00000377403,1.399315
SPSB1,ENST00000328089,1.945946
SLC25A33,ENST00000302692,0.234667
TMEM201,ENST00000340381,0.048292
PIK3CD,ENST00000377346,3.22622
CLSTN1,ENST00000377298,1.026167
CTNNBIP1,ENST00000377263,0.466665
LZIC,ENST00000377223,0.636418
NMNAT1,ENST00000377205,0.539219
RBP7,ENST00000294435,0
UBE4B,ENST00000343090,0.576616
PGD,ENST00000270776,6.892102
APITD1,ENST00000309048,0.03011
CORT,ENST00000377049,0.068736
DFFA,ENST00000377038,0.854515
PEX14,ENST00000356607,1.699948
CASZ1,ENST00000377022,0
TARDBP,ENST00000240185,0.111552
MASP2,ENST00000400897,0.125652
SRM,ENST00000376957,7.202047
EXOSC10,ENST00000376936,4.172819
MTOR,ENST00000361445,2.620466
ANGPTL7,ENST00000376819,0.02005
UBIAD1,ENST00000376810,0.811811
PTCHD2,ENST00000294484,0.001316
FBXO2,ENST00000354287,0.082655
FBXO44,ENST00000251547,0.124087
FBXO6,ENST00000376753,0.669895
MAD2L2,ENST00000376692,3.386073
DRAXIN,ENST00000294485,0.114076
AGTRAP,ENST00000314340,3.423167
MTHFR,ENST00000376590,0.08273
CLCN6,ENST00000346436,0.715135
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,3.239183
PLOD1,ENST00000196061,41.938862
MFN2,ENST00000235329,5.323554
MIIP,ENST00000235332,1.505729
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,0.39928399999999997
