gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0.078753
NOC2L,ENST00000327044,3.968016
KLHL17,ENST00000338591,0.256248
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,10.371755
AGRN,ENST00000379370,10.954647
RNF223,ENST00000453464,0.009158
C1orf159,ENST00000421241,0
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.033158
SDF4,ENST00000360001,3.611762
B3GALT6,ENST00000379198,1.319181
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,1.464969
SCNN1D,ENST00000379116,0.055333
ACAP3,ENST00000354700,0.629479
PUSL1,ENST00000379031,0.747557
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.802718
TAS1R3,ENST00000339381,0.124987
DVL1,ENST00000378888,0.085441
MXRA8,ENST00000309212,0.649057
CCNL2,ENST00000400809,0.346969
MRPL20,ENST00000344843,10.762072
VWA1,ENST00000476993,0.051401
ATAD3A,ENST00000378756,0.445543
TMEM240,ENST00000378733,0.067185
SSU72,ENST00000291386,6.230672
C1orf233,ENST00000422725,1.413916
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.103569
CDK11A,ENST00000404249,0.640472
NADK,ENST00000341426,0
GNB1,ENST00000378609,20.919569
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0.514451
PRKCZ,ENST00000378567,0.105587
C1orf86,ENST00000378546,1.115766
SKI,ENST00000378536,4.858374
MORN1,ENST00000378531,0.117373
RER1,ENST00000605895,3.203184
PEX10,ENST00000447513,0.712185
PLCH2,ENST00000378486,0.076993
PANK4,ENST00000378466,1.182605
HES5,ENST00000378453,8.448613
FAM213B,ENST00000419916,0.344693
MMEL1,ENST00000378412,0.006391
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,1.960283
ARHGEF16,ENST00000378378,0.04177
MEGF6,ENST00000356575,0.577373
TPRG1L,ENST00000378344,1.327944
WRAP73,ENST00000270708,0.592351
TP73,ENST00000378295,0.946299
CCDC27,ENST00000294600,0.002687
LRRC47,ENST00000378251,1.606702
CEP104,ENST00000378230,0.32414
DFFB,ENST00000378209,0.202339
C1orf174,ENST00000361605,1.574252
AJAP1,ENST00000378191,1.888853
NPHP4,ENST00000378156,0.540401
CHD5,ENST00000262450,2.182364
