gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.311546
KLHL17,ENST00000338591,0.065214
PLEKHN1,ENST00000379410,0.027444
HES4,ENST00000304952,0.600445
AGRN,ENST00000379370,3.247535
RNF223,ENST00000453464,0.006101
C1orf159,ENST00000421241,0.272581
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0.05441
TNFRSF4,ENST00000379236,0.268367
SDF4,ENST00000360001,2.483256
B3GALT6,ENST00000379198,0.644991
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,0.743561
SCNN1D,ENST00000379116,0.021088
ACAP3,ENST00000354700,0.347636
PUSL1,ENST00000379031,0.740158
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,1.21728
TAS1R3,ENST00000339381,0.029142
DVL1,ENST00000378888,0.029773
MXRA8,ENST00000309212,0.532234
CCNL2,ENST00000400809,0.266361
MRPL20,ENST00000344843,8.228733
VWA1,ENST00000476993,0.19595
ATAD3A,ENST00000378756,0.987695
TMEM240,ENST00000378733,0.017797
SSU72,ENST00000291386,4.778168
C1orf233,ENST00000422725,0.247122
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.344583
CDK11A,ENST00000404249,0.252312
NADK,ENST00000341426,0
GNB1,ENST00000378609,9.935368
CALML6,ENST00000307786,0.007975
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0.055162
PRKCZ,ENST00000378567,0.019347
C1orf86,ENST00000378546,1.575606
SKI,ENST00000378536,1.758767
MORN1,ENST00000378531,0.053979
RER1,ENST00000605895,1.750106
PEX10,ENST00000447513,0.660625
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,0.341888
HES5,ENST00000378453,0.156169
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.05075
ARHGEF16,ENST00000378378,0.487856
MEGF6,ENST00000356575,0.085858
TPRG1L,ENST00000378344,1.332442
WRAP73,ENST00000270708,0.539932
TP73,ENST00000378295,0.062896
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,0.881526
CEP104,ENST00000378230,0.304947
DFFB,ENST00000378209,0.179657
C1orf174,ENST00000361605,1.24551
AJAP1,ENST00000378191,0.005091
NPHP4,ENST00000378156,0.224065
CHD5,ENST00000262450,0.001399
RPL22,ENST00000234875,4.682519
RNF207,ENST00000377939,0.106764
ICMT,ENST00000343813,1.925209
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.277181
ACOT7,ENST00000361521,0.003712
HES2,ENST00000377834,0.019597
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0.154984
NOL9,ENST00000377705,1.003853
TAS1R1,ENST00000333172,0.003069
ZBTB48,ENST00000377674,0.088807
KLHL21,ENST00000377658,1.114376
PHF13,ENST00000377648,0.872408
DNAJC11,ENST00000377577,1.427807
CAMTA1,ENST00000303635,0.063462
VAMP3,ENST00000054666,5.680332
UTS2,ENST00000361696,0.011558
TNFRSF9,ENST00000377507,0.378761
PARK7,ENST00000338639,1.388456
ERRFI1,ENST00000377482,3.611956
SLC45A1,ENST00000471889,0.045033
RERE,ENST00000400908,0.396964
ENO1,ENST00000234590,96.241577
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.071908
GPR157,ENST00000377411,0.225378
H6PD,ENST00000377403,0.775274
SPSB1,ENST00000328089,1.330679
SLC25A33,ENST00000302692,0.463282
TMEM201,ENST00000340381,0.190017
PIK3CD,ENST00000377346,0.646885
CLSTN1,ENST00000377298,0.189342
CTNNBIP1,ENST00000377263,0.777251
LZIC,ENST00000377223,0.608171
NMNAT1,ENST00000377205,0.248879
RBP7,ENST00000294435,0.594721
UBE4B,ENST00000343090,0.5648
PGD,ENST00000270776,5.126263
APITD1,ENST00000309048,0.487828
CORT,ENST00000377049,0.031911
DFFA,ENST00000377038,0.916475
PEX14,ENST00000356607,0.811473
CASZ1,ENST00000377022,0.047574
TARDBP,ENST00000240185,0.314889
MASP2,ENST00000400897,0.054794
SRM,ENST00000376957,4.553488
EXOSC10,ENST00000376936,2.1385710000000002
MTOR,ENST00000361445,1.750078
ANGPTL7,ENST00000376819,0.042502
UBIAD1,ENST00000376810,0.455733
PTCHD2,ENST00000294484,0.047369
FBXO2,ENST00000354287,0.534526
FBXO44,ENST00000251547,0.112228
FBXO6,ENST00000376753,0.961037
MAD2L2,ENST00000376692,4.120745
DRAXIN,ENST00000294485,0.100974
AGTRAP,ENST00000314340,2.68503
MTHFR,ENST00000376590,0.106015
CLCN6,ENST00000346436,0.679824
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0.021945
KIAA2013,ENST00000376572,1.297344
PLOD1,ENST00000196061,7.204993
MFN2,ENST00000235329,3.333866
MIIP,ENST00000235332,1.138172
TNFRSF8,ENST00000263932,0.030602
TNFRSF1B,ENST00000376259,1.994783
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0.003909
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0
KAZN,ENST00000376030,0.298006
TMEM51,ENST00000376008,0.339463
EFHD2,ENST00000375980,4.922421
CTRC,ENST00000375949,0.002374
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.129635
DNAJC16,ENST00000375847,0.425013
AGMAT,ENST00000375826,0.121516
DDI2,ENST00000480945,0.671186
PLEKHM2,ENST00000375799,0.61963
SLC25A34,ENST00000294454,0.061046
TMEM82,ENST00000375782,0.005624
FBLIM1,ENST00000375766,1.48905
SPEN,ENST00000375759,1.367684
ZBTB17,ENST00000375743,0.68238
C1orf64,ENST00000329454,0
HSPB7,ENST00000311890,0.025312
CLCNKA,ENST00000331433,0
CLCNKB,ENST00000375679,0.025651
FAM131C,ENST00000375662,0.01826
EPHA2,ENST00000358432,1.216426
ARHGEF19,ENST00000270747,0.041429
RSG1,ENST00000375599,0.207518
FBXO42,ENST00000375592,0.566558
SZRD1,ENST00000401088,0.804898
NECAP2,ENST00000337132,2.93541
CROCC,ENST00000375541,0.34727
MFAP2,ENST00000375535,1.33734
ATP13A2,ENST00000326735,0
SDHB,ENST00000375499,3.062512
PADI2,ENST00000375486,0.349375
PADI1,ENST00000375471,0.038755
PADI3,ENST00000375460,0.043398
PADI4,ENST00000375448,0.034941
RCC2,ENST00000375436,5.015603
ARHGEF10L,ENST00000361221,0.073337
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,0.48195
PAX7,ENST00000420770,0
ALDH4A1,ENST00000375341,0.631067
IFFO2,ENST00000455833,0.479844
UBR4,ENST00000375254,2.644444
EMC1,ENST00000477853,0.308727
MRTO4,ENST00000330263,1.689279
AKR7A3,ENST00000361640,0.01557
PQLC2,ENST00000375153,0.46871
CAPZB,ENST00000264202,7.557202
MINOS1,ENST00000322753,0.124953
NBL1,ENST00000375136,0.239405
HTR6,ENST00000289753,9.46e-4
RNF186,ENST00000375121,0.003338
OTUD3,ENST00000375120,0.29021
PLA2G2E,ENST00000375116,0.006264
PLA2G5,ENST00000375108,0.015604
PLA2G2D,ENST00000375105,0
PLA2G2F,ENST00000375102,0.002714
UBXN10,ENST00000375099,0.055613
CAMK2N1,ENST00000375078,0.372983
MUL1,ENST00000264198,1.932293
FAM43B,ENST00000332947,0.015269
CDA,ENST00000375071,0.021153
PINK1,ENST00000321556,2.312032
DDOST,ENST00000602624,9.518169
KIF17,ENST00000400463,0.028694
SH2D5,ENST00000444387,0.113109
HP1BP3,ENST00000438032,0
ECE1,ENST00000374893,1.086496
NBPF3,ENST00000318249,0
ALPL,ENST00000374840,0.243857
USP48,ENST00000308271,0.443081
LDLRAD2,ENST00000344642,1.523255
HSPG2,ENST00000374695,7.082836
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,0.059863
ZBTB40,ENST00000375647,0.634953
EPHA8,ENST00000166244,0
C1QA,ENST00000374642,21.083302
C1QC,ENST00000374640,32.540879
C1QB,ENST00000509305,3.414929
EPHB2,ENST00000374630,0.890539
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,2.302685
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,1.099599
TCEA3,ENST00000450454,0.350826
ASAP3,ENST00000336689,0.822333
E2F2,ENST00000361729,0.341907
ID3,ENST00000374561,4.548546
PITHD1,ENST00000246151,1.607794
LYPLA2,ENST00000374514,2.702842
HMGCL,ENST00000374490,1.083585
FUCA1,ENST00000374479,2.41458
CNR2,ENST00000374472,0.002008
PNRC2,ENST00000334351,4.429163
SRSF10,ENST00000492112,0.159247
MYOM3,ENST00000374434,0.003103
IL22RA1,ENST00000270800,0.023535
IFNLR1,ENST00000327535,0.204553
GRHL3,ENST00000361548,0.014097
STPG1,ENST00000337248,0.207475
NIPAL3,ENST00000374399,0.370952
RCAN3,ENST00000374395,0.216299
NCMAP,ENST00000374392,9e-4
SRRM1,ENST00000323848,1.774185
CLIC4,ENST00000374379,5.485444
RUNX3,ENST00000308873,0.380962
SYF2,ENST00000236273,0.949171
C1orf63,ENST00000243189,0.429064
TMEM50A,ENST00000374358,2.939999
TMEM57,ENST00000374343,0.461399
LDLRAP1,ENST00000374338,0.820252
SEPN1,ENST00000361547,0.50998
MTFR1L,ENST00000374303,1.235057
AUNIP,ENST00000374298,0.151572
STMN1,ENST00000455785,4.699294
PAFAH2,ENST00000374282,0.250394
EXTL1,ENST00000374280,0.012709
SLC30A2,ENST00000374276,0.013431
TRIM63,ENST00000374272,0.057395
PDIK1L,ENST00000374269,0.408588
FAM110D,ENST00000374268,0.071103
ZNF593,ENST00000374266,3.15236
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,0.766846
SH3BGRL3,ENST00000270792,27.7753
CD52,ENST00000374213,5.589688
ZNF683,ENST00000349618,0.030405
LIN28A,ENST00000326279,0
DHDDS,ENST00000236342,0.424851
HMGN2,ENST00000361427,0.533294
RPS6KA1,ENST00000374168,0
