gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,1.271694
KLHL17,ENST00000338591,0.073842
PLEKHN1,ENST00000379410,0.041063
HES4,ENST00000304952,0
AGRN,ENST00000379370,0.875542
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.072756
SDF4,ENST00000360001,0.858182
B3GALT6,ENST00000379198,0.579959
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,0.494087
SCNN1D,ENST00000379116,0
ACAP3,ENST00000354700,0
PUSL1,ENST00000379031,0.777262
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.480497
TAS1R3,ENST00000339381,0.211126
DVL1,ENST00000378888,0
MXRA8,ENST00000309212,0.905499
CCNL2,ENST00000400809,0.602279
MRPL20,ENST00000344843,5.836409
VWA1,ENST00000476993,0.041667
ATAD3A,ENST00000378756,0
TMEM240,ENST00000378733,0.024821
SSU72,ENST00000291386,4.125058
C1orf233,ENST00000422725,0.032051
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,1.224023
CDK11A,ENST00000404249,0.656178
NADK,ENST00000341426,0
GNB1,ENST00000378609,11.704529
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0
SKI,ENST00000378536,4.057451
MORN1,ENST00000378531,0.802141
RER1,ENST00000605895,2.919625
PEX10,ENST00000447513,0
PLCH2,ENST00000378486,0.152487
PANK4,ENST00000378466,0.275427
HES5,ENST00000378453,0.018635
FAM213B,ENST00000419916,0
MMEL1,ENST00000378412,0.008265
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,1.480662
ARHGEF16,ENST00000378378,0.023357
MEGF6,ENST00000356575,1.206193
TPRG1L,ENST00000378344,2.84843
WRAP73,ENST00000270708,0.654736
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.368742
