gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.487944
KLHL17,ENST00000338591,0.11109
PLEKHN1,ENST00000379410,0
HES4,ENST00000304952,0.529002
AGRN,ENST00000379370,6.766755
RNF223,ENST00000453464,0.004824
C1orf159,ENST00000421241,0.181103
TTLL10,ENST00000379289,0.003962
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0.03453
SDF4,ENST00000360001,1.814584
B3GALT6,ENST00000379198,1.084288
FAM132A,ENST00000330388,0.043178
UBE2J2,ENST00000349431,0.721365
SCNN1D,ENST00000379116,0.152494
ACAP3,ENST00000354700,1.41583
PUSL1,ENST00000379031,1.119262
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,0.888982
TAS1R3,ENST00000339381,0.071591
DVL1,ENST00000378888,0.112493
MXRA8,ENST00000309212,0.098384
CCNL2,ENST00000400809,0.364543
MRPL20,ENST00000344843,5.196111
VWA1,ENST00000476993,0.346545
ATAD3A,ENST00000378756,0.357829
TMEM240,ENST00000378733,0.034141
SSU72,ENST00000291386,3.292391
C1orf233,ENST00000422725,0.093443
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0.308497
CDK11A,ENST00000404249,0.480775
NADK,ENST00000341426,0
GNB1,ENST00000378609,11.460437
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0.247587
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0.649832
SKI,ENST00000378536,1.952772
MORN1,ENST00000378531,0.081415
RER1,ENST00000605895,2.208487
PEX10,ENST00000447513,1.490749
PLCH2,ENST00000378486,0.018006
PANK4,ENST00000378466,0.796003
HES5,ENST00000378453,1.629822
FAM213B,ENST00000419916,0.112333
MMEL1,ENST00000378412,0.003261
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.073703
ARHGEF16,ENST00000378378,0.079998
MEGF6,ENST00000356575,0.090541
TPRG1L,ENST00000378344,1.339653
WRAP73,ENST00000270708,0.413715
TP73,ENST00000378295,0.137911
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,1.541738
CEP104,ENST00000378230,0.412368
DFFB,ENST00000378209,0
C1orf174,ENST00000361605,0.936739
AJAP1,ENST00000378191,0.22911
NPHP4,ENST00000378156,0.223877
CHD5,ENST00000262450,0.136578
RPL22,ENST00000234875,7.516468
RNF207,ENST00000377939,0.014415
ICMT,ENST00000343813,1.183267
HES3,ENST00000377898,0
GPR153,ENST00000377893,1.183797
ACOT7,ENST00000361521,0.083612
HES2,ENST00000377834,0
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,1.011832
TAS1R1,ENST00000333172,0.008311
ZBTB48,ENST00000377674,0.055235
KLHL21,ENST00000377658,0.61189
PHF13,ENST00000377648,1.106425
DNAJC11,ENST00000377577,1.19774
CAMTA1,ENST00000303635,0.523877
VAMP3,ENST00000054666,4.037643
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,1.352372
ERRFI1,ENST00000377482,0.916829
