gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,3.684496
KLHL17,ENST00000338591,0.20327
PLEKHN1,ENST00000379410,0.003076
HES4,ENST00000304952,0.964053
AGRN,ENST00000379370,1.574927
RNF223,ENST00000453464,0.002727
C1orf159,ENST00000421241,0.188478
TTLL10,ENST00000379289,0.00448
TNFRSF18,ENST00000379268,0.016195
TNFRSF4,ENST00000379236,0.016352
SDF4,ENST00000360001,2.45045
B3GALT6,ENST00000379198,1.356292
FAM132A,ENST00000330388,0.005721
UBE2J2,ENST00000349431,1.067551
SCNN1D,ENST00000379116,0.072061
ACAP3,ENST00000354700,1.277383
PUSL1,ENST00000379031,0.981084
CPSF3L,ENST00000435064,1.029026
GLTPD1,ENST00000343938,1.047239
TAS1R3,ENST00000339381,0.086527
DVL1,ENST00000378888,0.10306
MXRA8,ENST00000309212,1.109316
CCNL2,ENST00000400809,0.484144
MRPL20,ENST00000344843,8.71944
VWA1,ENST00000476993,0.059078
ATAD3A,ENST00000378756,1.266528
TMEM240,ENST00000378733,0.053163
SSU72,ENST00000291386,7.676559
C1orf233,ENST00000422725,0.163279
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,1.065083
CDK11A,ENST00000404249,0.346588
NADK,ENST00000341426,0.642683
GNB1,ENST00000378609,17.137193
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0.822505
SKI,ENST00000378536,1.614535
MORN1,ENST00000378531,0.378704
RER1,ENST00000605895,4.168293
PEX10,ENST00000447513,1.439302
PLCH2,ENST00000378486,0.104063
PANK4,ENST00000378466,0.653546
HES5,ENST00000378453,4.61945
FAM213B,ENST00000419916,0.339236
MMEL1,ENST00000378412,0.001928
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.047026
ARHGEF16,ENST00000378378,0.013218
MEGF6,ENST00000356575,0.061643
TPRG1L,ENST00000378344,1.387058
WRAP73,ENST00000270708,0.939938
TP73,ENST00000378295,0.34486
CCDC27,ENST00000294600,0.0072
LRRC47,ENST00000378251,2.38414
CEP104,ENST00000378230,0.757575
DFFB,ENST00000378209,0.339794
C1orf174,ENST00000361605,1.451209
AJAP1,ENST00000378191,0.07222
NPHP4,ENST00000378156,0.414456
CHD5,ENST00000262450,0.011964
RPL22,ENST00000234875,17.18586
RNF207,ENST00000377939,0.03981
ICMT,ENST00000343813,1.74954
HES3,ENST00000377898,0.058597
GPR153,ENST00000377893,0.866462
ACOT7,ENST00000361521,0.056567
HES2,ENST00000377834,0
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,1.241208
TAS1R1,ENST00000333172,0.028642
ZBTB48,ENST00000377674,0.05219
KLHL21,ENST00000377658,2.35472
PHF13,ENST00000377648,1.370751
DNAJC11,ENST00000377577,1.92951
