gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,7.973453
KLHL17,ENST00000338591,0.257117
PLEKHN1,ENST00000379410,0.042949
HES4,ENST00000304952,4.856765
AGRN,ENST00000379370,10.702487
RNF223,ENST00000453464,0.015956
C1orf159,ENST00000421241,0.286978
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0.126351
TNFRSF4,ENST00000379236,0.133527
SDF4,ENST00000360001,6.004107
B3GALT6,ENST00000379198,2.009826
FAM132A,ENST00000330388,0.056058
UBE2J2,ENST00000349431,2.269106
SCNN1D,ENST00000379116,0.245642
ACAP3,ENST00000354700,4.561345
PUSL1,ENST00000379031,1.615409
CPSF3L,ENST00000435064,0
GLTPD1,ENST00000343938,3.790221
TAS1R3,ENST00000339381,1.113326
DVL1,ENST00000378888,0.128381
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.616712
MRPL20,ENST00000344843,18.027934
VWA1,ENST00000476993,0.590351
ATAD3A,ENST00000378756,1.588117
TMEM240,ENST00000378733,0.117275
SSU72,ENST00000291386,15.363834
C1orf233,ENST00000422725,2.744478
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0
CDK11A,ENST00000404249,1.466418
NADK,ENST00000341426,0
GNB1,ENST00000378609,35.670691
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,1.013471
PRKCZ,ENST00000378567,0.011375
C1orf86,ENST00000378546,2.739696
SKI,ENST00000378536,7.020024
MORN1,ENST00000378531,0.259871
RER1,ENST00000605895,5.251158
PEX10,ENST00000447513,2.207321
PLCH2,ENST00000378486,0.124159
PANK4,ENST00000378466,1.304499
HES5,ENST00000378453,2.238234
FAM213B,ENST00000419916,0.634355
MMEL1,ENST00000378412,0.009145
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.643188
ARHGEF16,ENST00000378378,0.285565
MEGF6,ENST00000356575,2.000448
TPRG1L,ENST00000378344,6.888007
WRAP73,ENST00000270708,1.119932
TP73,ENST00000378295,0.482835
CCDC27,ENST00000294600,0.015227
LRRC47,ENST00000378251,4.169256
CEP104,ENST00000378230,1.400589
DFFB,ENST00000378209,0.546168
C1orf174,ENST00000361605,3.203658
AJAP1,ENST00000378191,0.540616
NPHP4,ENST00000378156,1.448336
CHD5,ENST00000262450,0.792903
RPL22,ENST00000234875,8.992573
RNF207,ENST00000377939,0.206559
ICMT,ENST00000343813,4.098109
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.742716
ACOT7,ENST00000361521,0.211963
HES2,ENST00000377834,0.275304
TNFRSF25,ENST00000356876,0.009098
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,2.781795
TAS1R1,ENST00000333172,0.058256
ZBTB48,ENST00000377674,0.215062
KLHL21,ENST00000377658,5.564937
PHF13,ENST00000377648,1.887104
DNAJC11,ENST00000377577,5.448874
CAMTA1,ENST00000303635,1.067471
VAMP3,ENST00000054666,11.871009
UTS2,ENST00000361696,0.028327
TNFRSF9,ENST00000377507,0.105262
PARK7,ENST00000338639,3.946787
ERRFI1,ENST00000377482,3.506104
SLC45A1,ENST00000471889,0.132441
RERE,ENST00000400908,1.343683
ENO1,ENST00000234590,119.04904
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,2.070898
GPR157,ENST00000377411,0.504955
H6PD,ENST00000377403,4.232725
SPSB1,ENST00000328089,4.448343
SLC25A33,ENST00000302692,1.023951
TMEM201,ENST00000340381,0.542673
PIK3CD,ENST00000377346,0.738837
CLSTN1,ENST00000377298,0.863267
CTNNBIP1,ENST00000377263,2.450054
LZIC,ENST00000377223,2.71324
NMNAT1,ENST00000377205,0.793726
RBP7,ENST00000294435,0.186838
UBE4B,ENST00000343090,2.283208
PGD,ENST00000270776,22.239158
APITD1,ENST00000309048,0.514081
CORT,ENST00000377049,0.646256
DFFA,ENST00000377038,2.808702
PEX14,ENST00000356607,2.399128
CASZ1,ENST00000377022,0.342289
TARDBP,ENST00000240185,1.701858
MASP2,ENST00000400897,0.891114
SRM,ENST00000376957,9.286619
EXOSC10,ENST00000376936,7.022944
MTOR,ENST00000361445,7.10547
ANGPTL7,ENST00000376819,1.721641
UBIAD1,ENST00000376810,0.812249
PTCHD2,ENST00000294484,0.625668
FBXO2,ENST00000354287,0.489969
FBXO44,ENST00000251547,0.464751
FBXO6,ENST00000376753,0.60905
MAD2L2,ENST00000376692,5.279524
DRAXIN,ENST00000294485,0.531869
AGTRAP,ENST00000314340,7.233933
MTHFR,ENST00000376590,0.453687
CLCN6,ENST00000346436,1.802071
NPPA,ENST00000376480,0.598899
NPPB,ENST00000376468,0.019132
KIAA2013,ENST00000376572,3.941785
PLOD1,ENST00000196061,16.000781
MFN2,ENST00000235329,11.408409
MIIP,ENST00000235332,3.616715
TNFRSF8,ENST00000263932,0.045296
TNFRSF1B,ENST00000376259,1.816983
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0.005713
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0.251681
KAZN,ENST00000376030,0.054318
TMEM51,ENST00000376008,0.663949
EFHD2,ENST00000375980,4.620261
CTRC,ENST00000375949,0.023352
CELA2A,ENST00000359621,0.046579
CELA2B,ENST00000375910,0.024597
CASP9,ENST00000333868,0.261611
DNAJC16,ENST00000375847,1.696467
AGMAT,ENST00000375826,0.370262
DDI2,ENST00000480945,1.751484
PLEKHM2,ENST00000375799,0
SLC25A34,ENST00000294454,1.074327
TMEM82,ENST00000375782,0.029418
FBLIM1,ENST00000375766,3.929737
SPEN,ENST00000375759,5.379399
ZBTB17,ENST00000375743,2.651098
C1orf64,ENST00000329454,0.239206
HSPB7,ENST00000311890,0.041141
CLCNKA,ENST00000331433,0.017646
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.269274
EPHA2,ENST00000358432,1.052091
ARHGEF19,ENST00000270747,0.156329
RSG1,ENST00000375599,0.561558
FBXO42,ENST00000375592,2.288387
SZRD1,ENST00000401088,3.189794
NECAP2,ENST00000337132,5.640727
CROCC,ENST00000375541,1.953826
MFAP2,ENST00000375535,0.901172
ATP13A2,ENST00000326735,0
SDHB,ENST00000375499,7.817876
PADI2,ENST00000375486,6.610755
PADI1,ENST00000375471,0.015672
PADI3,ENST00000375460,0.080645
PADI4,ENST00000375448,0
RCC2,ENST00000375436,15.777924
ARHGEF10L,ENST00000361221,0.561532
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,1.244539
PAX7,ENST00000420770,0.223067
ALDH4A1,ENST00000375341,1.570979
IFFO2,ENST00000455833,0.753367
UBR4,ENST00000375254,10.255654
EMC1,ENST00000477853,2.037523
MRTO4,ENST00000330263,4.554483
AKR7A3,ENST00000361640,0.651255
PQLC2,ENST00000375153,0.978538
CAPZB,ENST00000264202,12.498539
MINOS1,ENST00000322753,0.672983
NBL1,ENST00000375136,0.345984
HTR6,ENST00000289753,0.054405
RNF186,ENST00000375121,0
OTUD3,ENST00000375120,1.890445
PLA2G2E,ENST00000375116,0.032766000000000003
PLA2G5,ENST00000375108,0.110491
PLA2G2D,ENST00000375105,0
PLA2G2F,ENST00000375102,0.010648
UBXN10,ENST00000375099,0.991687
CAMK2N1,ENST00000375078,13.478645
MUL1,ENST00000264198,4.505551
FAM43B,ENST00000332947,1.409655
CDA,ENST00000375071,0.266578
PINK1,ENST00000321556,8.96585
DDOST,ENST00000602624,8.084059
KIF17,ENST00000400463,0.115469
SH2D5,ENST00000444387,0
HP1BP3,ENST00000438032,0
ECE1,ENST00000374893,0.970045
NBPF3,ENST00000318249,0.13074
ALPL,ENST00000374840,0.628279
USP48,ENST00000308271,0.492275
LDLRAD2,ENST00000344642,0.918214
HSPG2,ENST00000374695,3.984833
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,0.2374
ZBTB40,ENST00000375647,2.680724
EPHA8,ENST00000166244,0.054251
C1QA,ENST00000374642,10.305749
C1QC,ENST00000374640,25.638252
C1QB,ENST00000509305,2.53456
EPHB2,ENST00000374630,1.504617
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,3.217432
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,3.5916
TCEA3,ENST00000450454,0.286801
ASAP3,ENST00000336689,2.582607
E2F2,ENST00000361729,1.370699
ID3,ENST00000374561,29.60272
PITHD1,ENST00000246151,8.949728
LYPLA2,ENST00000374514,6.644343
HMGCL,ENST00000374490,3.540964
FUCA1,ENST00000374479,2.437105
CNR2,ENST00000374472,0.007003
PNRC2,ENST00000334351,7.826006
SRSF10,ENST00000492112,1.055245
MYOM3,ENST00000374434,0
IL22RA1,ENST00000270800,0.006839
IFNLR1,ENST00000327535,0.428709
GRHL3,ENST00000361548,0
STPG1,ENST00000337248,0.314191
NIPAL3,ENST00000374399,1.560523
RCAN3,ENST00000374395,0.844174
NCMAP,ENST00000374392,0.018829
SRRM1,ENST00000323848,5.781357
CLIC4,ENST00000374379,36.191877
RUNX3,ENST00000308873,0.385596
SYF2,ENST00000236273,2.696909
C1orf63,ENST00000243189,1.085484
TMEM50A,ENST00000374358,5.383
TMEM57,ENST00000374343,1.111749
LDLRAP1,ENST00000374338,1.938335
SEPN1,ENST00000361547,3.43317
MTFR1L,ENST00000374303,2.843987
AUNIP,ENST00000374298,0.484772
STMN1,ENST00000455785,14.058954
PAFAH2,ENST00000374282,1.592299
EXTL1,ENST00000374280,0.138615
SLC30A2,ENST00000374276,0.02049
TRIM63,ENST00000374272,0.032747
PDIK1L,ENST00000374269,1.639442
FAM110D,ENST00000374268,0.123973
ZNF593,ENST00000374266,5.765016
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,1.369346
SH3BGRL3,ENST00000270792,32.412235
CD52,ENST00000374213,0.762719
ZNF683,ENST00000349618,0.006452
LIN28A,ENST00000326279,0
DHDDS,ENST00000236342,4.5225
HMGN2,ENST00000361427,1.73724
RPS6KA1,ENST00000374168,0.30083
ARID1A,ENST00000324856,0.768624
ZDHHC18,ENST00000374142,1.219258
SFN,ENST00000339276,0.107798
GPN2,ENST00000374135,1.991067
GPATCH3,ENST00000361720,1.934418
NR0B2,ENST00000254227,0.047933
NUDC,ENST00000321265,12.86339
C1orf172,ENST00000320567,0
TRNP1,ENST00000522111,0.856065
FAM46B,ENST00000289166,0.193495
SLC9A1,ENST00000263980,3.968835
WDTC1,ENST00000319394,0.737241
MAP3K6,ENST00000357582,1.487433
FCN3,ENST00000270879,0
CD164L2,ENST00000374030,0
GPR3,ENST00000374024,1.567441
FGR,ENST00000374005,0.195415
IFI6,ENST00000361157,98.329294
FAM76A,ENST00000373954,1.079965
STX12,ENST00000373943,7.683987
PPP1R8,ENST00000311772,3.606035
THEMIS2,ENST00000373921,1.380928
RPA2,ENST00000373912,7.903046
SMPDL3B,ENST00000373894,0.021723
XKR8,ENST00000373884,0.64624
EYA3,ENST00000373871,0
PTAFR,ENST00000373857,1.221983
DNAJC8,ENST00000263697,4.781508
ATPIF1,ENST00000335514,36.307251
SESN2,ENST00000253063,8.836054
MED18,ENST00000373842,1.586504
PHACTR4,ENST00000373839,1.877211
TRNAU1AP,ENST00000373830,1.08271
TAF12,ENST00000373824,2.807847
GMEB1,ENST00000373816,0.771816
YTHDF2,ENST00000373812,11.214205
OPRD1,ENST00000234961,1.385046
EPB41,ENST00000343067,0
TMEM200B,ENST00000521452,0.742545
SRSF4,ENST00000373795,8.178139
MECR,ENST00000263702,0.328932
PTPRU,ENST00000373779,0
MATN1,ENST00000373765,0.031053
LAPTM5,ENST00000294507,16.221576
SDC3,ENST00000339394,28.557539
PUM1,ENST00000426105,0
NKAIN1,ENST00000373736,0.496881
SNRNP40,ENST00000263694,5.214543
ZCCHC17,ENST00000344147,5.778734
FABP3,ENST00000373713,1.970253
SERINC2,ENST00000373709,2.613049
TINAGL1,ENST00000271064,0.411071
PEF1,ENST00000373703,8.684077
COL16A1,ENST00000373672,4.872281
KHDRBS1,ENST00000327300,11.953049
TMEM39B,ENST00000336294,0.400727
KPNA6,ENST00000373625,6.231011
TXLNA,ENST00000373610,9.236963
CCDC28B,ENST00000373602,0.621636
IQCC,ENST00000291358,0.038225
TMEM234,ENST00000309777,1.341803
FAM167B,ENST00000373582,0.226454
LCK,ENST00000336890,0.055197
