gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,2.215402
KLHL17,ENST00000338591,0.223122
PLEKHN1,ENST00000379410,0.006965
HES4,ENST00000304952,0.151951
AGRN,ENST00000379370,0.89032
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.314619
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,2.463014
B3GALT6,ENST00000379198,0.604691
FAM132A,ENST00000330388,0
UBE2J2,ENST00000349431,0.430133
SCNN1D,ENST00000379116,0.003304
ACAP3,ENST00000354700,0.408171
PUSL1,ENST00000379031,0.760868
CPSF3L,ENST00000435064,0.618593
GLTPD1,ENST00000343938,0.666026
TAS1R3,ENST00000339381,0.024026
DVL1,ENST00000378888,0.01357
MXRA8,ENST00000309212,2.1706
CCNL2,ENST00000400809,0.173766
MRPL20,ENST00000344843,8.76072
VWA1,ENST00000476993,0.012395
ATAD3A,ENST00000378756,0.26445
TMEM240,ENST00000378733,0
SSU72,ENST00000291386,5.025022
C1orf233,ENST00000422725,0.233434
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0
CDK11A,ENST00000404249,0.246398
NADK,ENST00000341426,0
GNB1,ENST00000378609,5.683552
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,1.079232
SKI,ENST00000378536,0.318051
MORN1,ENST00000378531,0
RER1,ENST00000605895,1.251906
PEX10,ENST00000447513,0.632797
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,0.185047
HES5,ENST00000378453,0
FAM213B,ENST00000419916,0.237222
MMEL1,ENST00000378412,0
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0
ARHGEF16,ENST00000378378,0
MEGF6,ENST00000356575,0.317691
TPRG1L,ENST00000378344,0.730923
WRAP73,ENST00000270708,0.331649
TP73,ENST00000378295,0
CCDC27,ENST00000294600,0
LRRC47,ENST00000378251,0.790303
CEP104,ENST00000378230,0.129769
DFFB,ENST00000378209,0.119637
C1orf174,ENST00000361605,3.031664
AJAP1,ENST00000378191,0.001398
NPHP4,ENST00000378156,0.154825
CHD5,ENST00000262450,6.78e-4
RPL22,ENST00000234875,3.750666
RNF207,ENST00000377939,0.023079
ICMT,ENST00000343813,1.312665
HES3,ENST00000377898,0
GPR153,ENST00000377893,0.174335
ACOT7,ENST00000361521,0.035013
HES2,ENST00000377834,0.001136
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0
NOL9,ENST00000377705,0.528117
TAS1R1,ENST00000333172,0.009064
ZBTB48,ENST00000377674,0.01261
KLHL21,ENST00000377658,1.214021
PHF13,ENST00000377648,0.517516
DNAJC11,ENST00000377577,1.015638
CAMTA1,ENST00000303635,0.006803
VAMP3,ENST00000054666,5.145055
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0.910918
PARK7,ENST00000338639,2.446523
ERRFI1,ENST00000377482,2.307798
SLC45A1,ENST00000471889,0.020747
RERE,ENST00000400908,0
ENO1,ENST00000234590,100.642879
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.02778
GPR157,ENST00000377411,0.096171
H6PD,ENST00000377403,0.242673
SPSB1,ENST00000328089,0.947557
SLC25A33,ENST00000302692,0.449154
TMEM201,ENST00000340381,0.111593
PIK3CD,ENST00000377346,0.765876
CLSTN1,ENST00000377298,0.13035
CTNNBIP1,ENST00000377263,0.293856
LZIC,ENST00000377223,0.656942
NMNAT1,ENST00000377205,0.154444
RBP7,ENST00000294435,0.012126
UBE4B,ENST00000343090,0.265277
PGD,ENST00000270776,3.373397
APITD1,ENST00000309048,0.695596
CORT,ENST00000377049,0.034659
DFFA,ENST00000377038,0.508109
PEX14,ENST00000356607,0.631761
CASZ1,ENST00000377022,0.001427
TARDBP,ENST00000240185,0.032076
MASP2,ENST00000400897,0.026868
SRM,ENST00000376957,3.33377
EXOSC10,ENST00000376936,2.142486
MTOR,ENST00000361445,0.800396
ANGPTL7,ENST00000376819,0.004617
UBIAD1,ENST00000376810,0.219312
PTCHD2,ENST00000294484,9.09e-4
FBXO2,ENST00000354287,0.008785
FBXO44,ENST00000251547,0.085526
FBXO6,ENST00000376753,0.05023
MAD2L2,ENST00000376692,2.5529
DRAXIN,ENST00000294485,0.192853
AGTRAP,ENST00000314340,2.160952
MTHFR,ENST00000376590,0.018202
CLCN6,ENST00000346436,0.181622
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,0.916907
PLOD1,ENST00000196061,6.413431
MFN2,ENST00000235329,1.710025
MIIP,ENST00000235332,0.973779
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,0.127309
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0
KAZN,ENST00000376030,0.052947
TMEM51,ENST00000376008,0.170618
EFHD2,ENST00000375980,2.186266
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.074351
DNAJC16,ENST00000375847,0.29522
AGMAT,ENST00000375826,0.025632
DDI2,ENST00000480945,0.152929
PLEKHM2,ENST00000375799,0.82254
SLC25A34,ENST00000294454,0.034075
TMEM82,ENST00000375782,0
FBLIM1,ENST00000375766,2.577469
SPEN,ENST00000375759,0.167415
ZBTB17,ENST00000375743,0.582108
C1orf64,ENST00000329454,0.001634
HSPB7,ENST00000311890,0.01867
CLCNKA,ENST00000331433,0
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.043392
EPHA2,ENST00000358432,1.426353
ARHGEF19,ENST00000270747,0.031285
RSG1,ENST00000375599,0.106948
FBXO42,ENST00000375592,0.27303500000000003
SZRD1,ENST00000401088,0.21806
NECAP2,ENST00000337132,2.336257
CROCC,ENST00000375541,0.098342
MFAP2,ENST00000375535,0.762765
ATP13A2,ENST00000326735,0
SDHB,ENST00000375499,4.480049
PADI2,ENST00000375486,0
PADI1,ENST00000375471,0.007605
PADI3,ENST00000375460,0.006203
PADI4,ENST00000375448,0
RCC2,ENST00000375436,2.047938
ARHGEF10L,ENST00000361221,0.087374
ACTL8,ENST00000375406,0.005728
IGSF21,ENST00000251296,0
PAX7,ENST00000420770,7.64e-4
ALDH4A1,ENST00000375341,0.161231
IFFO2,ENST00000455833,0.444087
UBR4,ENST00000375254,0.640276
EMC1,ENST00000477853,0.147129
MRTO4,ENST00000330263,3.139442
AKR7A3,ENST00000361640,0.037806
PQLC2,ENST00000375153,0.3942
CAPZB,ENST00000264202,6.934765
MINOS1,ENST00000322753,0.183397
NBL1,ENST00000375136,1.021634
HTR6,ENST00000289753,0.00642
RNF186,ENST00000375121,0
OTUD3,ENST00000375120,0.173578
PLA2G2E,ENST00000375116,0
PLA2G5,ENST00000375108,0.354469
PLA2G2D,ENST00000375105,0
PLA2G2F,ENST00000375102,0
UBXN10,ENST00000375099,0
CAMK2N1,ENST00000375078,1.290826
MUL1,ENST00000264198,1.257512
FAM43B,ENST00000332947,0.033173
CDA,ENST00000375071,0
PINK1,ENST00000321556,2.20841
DDOST,ENST00000602624,9.49916
KIF17,ENST00000400463,0
SH2D5,ENST00000444387,0.033677
HP1BP3,ENST00000438032,0
ECE1,ENST00000374893,0.46026
NBPF3,ENST00000318249,0.185955
ALPL,ENST00000374840,0
USP48,ENST00000308271,0.188041
LDLRAD2,ENST00000344642,0.049785
HSPG2,ENST00000374695,0.219836
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,0.002452
ZBTB40,ENST00000375647,0.368555
EPHA8,ENST00000166244,0
C1QA,ENST00000374642,0
C1QC,ENST00000374640,0
C1QB,ENST00000509305,0
EPHB2,ENST00000374630,1.215205
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,0.512081
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,0.233616
TCEA3,ENST00000450454,0.079806
ASAP3,ENST00000336689,0.211016
E2F2,ENST00000361729,0.223033
ID3,ENST00000374561,12.263457
PITHD1,ENST00000246151,1.538382
LYPLA2,ENST00000374514,2.225447
HMGCL,ENST00000374490,0.846414
FUCA1,ENST00000374479,1.032047
CNR2,ENST00000374472,0
PNRC2,ENST00000334351,3.463131
SRSF10,ENST00000492112,0.077105
MYOM3,ENST00000374434,0
IL22RA1,ENST00000270800,0.026631
IFNLR1,ENST00000327535,0.020494
GRHL3,ENST00000361548,0
STPG1,ENST00000337248,0.146205
NIPAL3,ENST00000374399,0.29815
RCAN3,ENST00000374395,0.256932
NCMAP,ENST00000374392,0
SRRM1,ENST00000323848,0.559433
CLIC4,ENST00000374379,8.535699
RUNX3,ENST00000308873,0.373722
SYF2,ENST00000236273,0.561266
C1orf63,ENST00000243189,0.314723
TMEM50A,ENST00000374358,1.907809
TMEM57,ENST00000374343,0.229208
LDLRAP1,ENST00000374338,0.526272
SEPN1,ENST00000361547,0.341098
MTFR1L,ENST00000374303,1.054074
AUNIP,ENST00000374298,0.311793
STMN1,ENST00000455785,10.964905
PAFAH2,ENST00000374282,0.171469
EXTL1,ENST00000374280,0
SLC30A2,ENST00000374276,0
TRIM63,ENST00000374272,0.065946
PDIK1L,ENST00000374269,0.249333
FAM110D,ENST00000374268,0
ZNF593,ENST00000374266,4.237394
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,0.533386
