gene_symbol,transcript_id,TPM
SAMD11,ENST00000342066,0
NOC2L,ENST00000327044,8.969288
KLHL17,ENST00000338591,0.482547
PLEKHN1,ENST00000379410,0.021095
HES4,ENST00000304952,0.417022
AGRN,ENST00000379370,3.140065
RNF223,ENST00000453464,0
C1orf159,ENST00000421241,0.796385
TTLL10,ENST00000379289,0
TNFRSF18,ENST00000379268,0.144411
TNFRSF4,ENST00000379236,0
SDF4,ENST00000360001,5.845647
B3GALT6,ENST00000379198,5.468042
FAM132A,ENST00000330388,0.014442
UBE2J2,ENST00000349431,3.277825
SCNN1D,ENST00000379116,0.166034
ACAP3,ENST00000354700,2.005674
PUSL1,ENST00000379031,3.130061
CPSF3L,ENST00000435064,4.22391
GLTPD1,ENST00000343938,2.604586
TAS1R3,ENST00000339381,0.391629
DVL1,ENST00000378888,0.093567
MXRA8,ENST00000309212,0
CCNL2,ENST00000400809,0.440383
MRPL20,ENST00000344843,28.155444
VWA1,ENST00000476993,0.226155
ATAD3A,ENST00000378756,1.447667
TMEM240,ENST00000378733,0.072087
SSU72,ENST00000291386,13.205957
C1orf233,ENST00000422725,0.542207
MMP23B,ENST00000356026,0
CDK11B,ENST00000341832,0
CDK11A,ENST00000404249,1.242562
NADK,ENST00000341426,0
GNB1,ENST00000378609,15.661679
CALML6,ENST00000307786,0
TMEM52,ENST00000310991,0.185213
GABRD,ENST00000378585,0
PRKCZ,ENST00000378567,0
C1orf86,ENST00000378546,0
SKI,ENST00000378536,1.636843
MORN1,ENST00000378531,0.142327
RER1,ENST00000605895,8.793148
PEX10,ENST00000447513,1.413407
PLCH2,ENST00000378486,0
PANK4,ENST00000378466,2.085984
HES5,ENST00000378453,0.798804
FAM213B,ENST00000419916,1.111937
MMEL1,ENST00000378412,0.096154
ACTRT2,ENST00000378404,0
PRDM16,ENST00000270722,0.005841
ARHGEF16,ENST00000378378,0
MEGF6,ENST00000356575,0.002744
TPRG1L,ENST00000378344,0.678811
WRAP73,ENST00000270708,1.13317
TP73,ENST00000378295,1.056215
CCDC27,ENST00000294600,0.005261
LRRC47,ENST00000378251,4.680697
CEP104,ENST00000378230,0.881042
DFFB,ENST00000378209,0.496497
C1orf174,ENST00000361605,3.764216
AJAP1,ENST00000378191,0
NPHP4,ENST00000378156,0.344053
CHD5,ENST00000262450,0.02549
RPL22,ENST00000234875,24.694061
RNF207,ENST00000377939,0.090507
ICMT,ENST00000343813,10.060135
HES3,ENST00000377898,0
GPR153,ENST00000377893,3.004324
ACOT7,ENST00000361521,0.074654
HES2,ENST00000377834,0.071328
TNFRSF25,ENST00000356876,0
PLEKHG5,ENST00000377728,0.679887
NOL9,ENST00000377705,1.883671
TAS1R1,ENST00000333172,0
ZBTB48,ENST00000377674,0.257926
KLHL21,ENST00000377658,2.554043
PHF13,ENST00000377648,2.666697
DNAJC11,ENST00000377577,5.017667
CAMTA1,ENST00000303635,0.422045
VAMP3,ENST00000054666,22.144519
UTS2,ENST00000361696,0
TNFRSF9,ENST00000377507,0
PARK7,ENST00000338639,6.409739
ERRFI1,ENST00000377482,4.205637
SLC45A1,ENST00000471889,0
RERE,ENST00000400908,0.423988
ENO1,ENST00000234590,132.212501
CA6,ENST00000377443,0
SLC2A5,ENST00000377424,0.012865
GPR157,ENST00000377411,0.453606
H6PD,ENST00000377403,2.617014
SPSB1,ENST00000328089,0.770743
SLC25A33,ENST00000302692,1.925607
TMEM201,ENST00000340381,0.776897
PIK3CD,ENST00000377346,0.076469
CLSTN1,ENST00000377298,0.503565
CTNNBIP1,ENST00000377263,4.172227
LZIC,ENST00000377223,3.639029
NMNAT1,ENST00000377205,1.224848
RBP7,ENST00000294435,5.748913
UBE4B,ENST00000343090,2.413121
PGD,ENST00000270776,30.698781
APITD1,ENST00000309048,1.103983
CORT,ENST00000377049,0.18863
DFFA,ENST00000377038,5.326735
PEX14,ENST00000356607,4.008528
CASZ1,ENST00000377022,0.712224
TARDBP,ENST00000240185,0.697754
MASP2,ENST00000400897,0.31743
SRM,ENST00000376957,5.02321
EXOSC10,ENST00000376936,17.313339
MTOR,ENST00000361445,6.153874
ANGPTL7,ENST00000376819,0.069967
UBIAD1,ENST00000376810,1.667841
PTCHD2,ENST00000294484,1.543665
FBXO2,ENST00000354287,0.036943
FBXO44,ENST00000251547,0
FBXO6,ENST00000376753,0.913268
MAD2L2,ENST00000376692,15.128512
DRAXIN,ENST00000294485,9.090755
AGTRAP,ENST00000314340,4.027209
MTHFR,ENST00000376590,0.100205
CLCN6,ENST00000346436,1.271465
NPPA,ENST00000376480,0
NPPB,ENST00000376468,0
KIAA2013,ENST00000376572,4.537658
PLOD1,ENST00000196061,8.667916
MFN2,ENST00000235329,9.854104
MIIP,ENST00000235332,3.319583
TNFRSF8,ENST00000263932,0
TNFRSF1B,ENST00000376259,0.347316
AADACL3,ENST00000359318,0
PRAMEF12,ENST00000357726,0
PRAMEF1,ENST00000332296,0
HNRNPCL1,ENST00000317869,0
PRAMEF2,ENST00000240189,0
PRAMEF4,ENST00000235349,0
PRAMEF10,ENST00000235347,0
PRAMEF6,ENST00000376189,0
WI2-3308P17.2,ENST00000436041,0
PRAMEF9,ENST00000376152,0
PRAMEF14,ENST00000334600,0
PRAMEF17,ENST00000376098,0
LRRC38,ENST00000376085,0
KAZN,ENST00000376030,1.961408
TMEM51,ENST00000376008,0
EFHD2,ENST00000375980,6.41818
CTRC,ENST00000375949,0
CELA2A,ENST00000359621,0
CELA2B,ENST00000375910,0
CASP9,ENST00000333868,0.105921
DNAJC16,ENST00000375847,2.10595
AGMAT,ENST00000375826,0.558368
DDI2,ENST00000480945,1.249573
PLEKHM2,ENST00000375799,0
SLC25A34,ENST00000294454,0.12547
TMEM82,ENST00000375782,0
FBLIM1,ENST00000375766,2.982089
SPEN,ENST00000375759,2.499283
ZBTB17,ENST00000375743,1.455674
C1orf64,ENST00000329454,0.010613
HSPB7,ENST00000311890,0.040681
CLCNKA,ENST00000331433,0
CLCNKB,ENST00000375679,0
FAM131C,ENST00000375662,0.234847
EPHA2,ENST00000358432,17.475518
ARHGEF19,ENST00000270747,0.175657
RSG1,ENST00000375599,0.921554
FBXO42,ENST00000375592,1.724751
SZRD1,ENST00000401088,2.240277
NECAP2,ENST00000337132,5.787799
CROCC,ENST00000375541,0.384667
MFAP2,ENST00000375535,5.266621
ATP13A2,ENST00000326735,0
SDHB,ENST00000375499,9.098085
PADI2,ENST00000375486,2.118758
PADI1,ENST00000375471,0
PADI3,ENST00000375460,0.090645
PADI4,ENST00000375448,0.004891
RCC2,ENST00000375436,18.876162
ARHGEF10L,ENST00000361221,0.120459
ACTL8,ENST00000375406,0
IGSF21,ENST00000251296,0.054067
PAX7,ENST00000420770,0
ALDH4A1,ENST00000375341,0.68244
IFFO2,ENST00000455833,1.368125
UBR4,ENST00000375254,4.159168
EMC1,ENST00000477853,1.675821
MRTO4,ENST00000330263,10.644318
AKR7A3,ENST00000361640,0.228874
PQLC2,ENST00000375153,0.342563
CAPZB,ENST00000264202,3.886097
MINOS1,ENST00000322753,0.497863
NBL1,ENST00000375136,0.255608
HTR6,ENST00000289753,0.00278
RNF186,ENST00000375121,0
OTUD3,ENST00000375120,0.713838
PLA2G2E,ENST00000375116,0
PLA2G5,ENST00000375108,0
PLA2G2D,ENST00000375105,0
PLA2G2F,ENST00000375102,0
UBXN10,ENST00000375099,0.001858
CAMK2N1,ENST00000375078,0.410889
MUL1,ENST00000264198,5.064237
FAM43B,ENST00000332947,0.116702
CDA,ENST00000375071,0
PINK1,ENST00000321556,2.761545
DDOST,ENST00000602624,24.727202
KIF17,ENST00000400463,0
SH2D5,ENST00000444387,0
HP1BP3,ENST00000438032,2.524043
ECE1,ENST00000374893,0
NBPF3,ENST00000318249,0.194
ALPL,ENST00000374840,0.120843
USP48,ENST00000308271,0.958287
LDLRAD2,ENST00000344642,0.191274
HSPG2,ENST00000374695,0.705007
CELA3B,ENST00000337107,0
CELA3A,ENST00000290122,0
WNT4,ENST00000290167,0.052369
ZBTB40,ENST00000375647,1.9084700000000001
EPHA8,ENST00000166244,0
C1QA,ENST00000374642,0
C1QC,ENST00000374640,0
C1QB,ENST00000509305,0
EPHB2,ENST00000374630,4.590445
C1orf234,ENST00000566855,0
KDM1A,ENST00000400181,4.980369
HNRNPR,ENST00000302271,0
ZNF436,ENST00000314011,7.055737
TCEA3,ENST00000450454,1.443835
ASAP3,ENST00000336689,4.574287
E2F2,ENST00000361729,1.538303
ID3,ENST00000374561,0.084482
PITHD1,ENST00000246151,8.409403
LYPLA2,ENST00000374514,4.416282
HMGCL,ENST00000374490,2.680783
FUCA1,ENST00000374479,0.483084
CNR2,ENST00000374472,0
PNRC2,ENST00000334351,15.836597
SRSF10,ENST00000492112,0.358295
MYOM3,ENST00000374434,0
IL22RA1,ENST00000270800,0.003844
IFNLR1,ENST00000327535,0.020577
GRHL3,ENST00000361548,0
STPG1,ENST00000337248,0.130227
NIPAL3,ENST00000374399,1.863775
RCAN3,ENST00000374395,0.689081
NCMAP,ENST00000374392,0.177247
SRRM1,ENST00000323848,4.594888
CLIC4,ENST00000374379,22.507345
RUNX3,ENST00000308873,0
SYF2,ENST00000236273,2.935432
C1orf63,ENST00000243189,1.214473
TMEM50A,ENST00000374358,8.580881
TMEM57,ENST00000374343,0.814506
LDLRAP1,ENST00000374338,1.216588
SEPN1,ENST00000361547,1.684343
MTFR1L,ENST00000374303,6.460562
AUNIP,ENST00000374298,0.385886
STMN1,ENST00000455785,29.612839
PAFAH2,ENST00000374282,1.592526
EXTL1,ENST00000374280,0.031409
SLC30A2,ENST00000374276,0
TRIM63,ENST00000374272,0
PDIK1L,ENST00000374269,1.752249
FAM110D,ENST00000374268,0.023224
ZNF593,ENST00000374266,6.336808
CNKSR1,ENST00000361530,0
CATSPER4,ENST00000456354,0
CEP85,ENST00000451429,3.677903
SH3BGRL3,ENST00000270792,23.662883
CD52,ENST00000374213,0
ZNF683,ENST00000349618,0
LIN28A,ENST00000326279,0
DHDDS,ENST00000236342,1.774737
HMGN2,ENST00000361427,4.781064
RPS6KA1,ENST00000374168,3.846066
ARID1A,ENST00000324856,0.353129
ZDHHC18,ENST00000374142,2.317438
SFN,ENST00000339276,0.167767
GPN2,ENST00000374135,1.879355
GPATCH3,ENST00000361720,1.456341
NR0B2,ENST00000254227,0
NUDC,ENST00000321265,15.148608
C1orf172,ENST00000320567,0
TRNP1,ENST00000522111,0.932624
FAM46B,ENST00000289166,0.323919
SLC9A1,ENST00000263980,4.511499
