Landmarks,19,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,S.1,normal,1.233618e+02,2.075620e+02,4.240178e+02,2.468328e-01,8.736668e-01,4.192613e-01
2,S.2,normal,6.196533e+01,2.619528e+02,4.243766e+02,-1.670522e-01,9.219334e-01,-3.494745e-01
3,S.3,normal,-1.362437e+01,1.494054e+02,4.192270e+02,-8.302014e-01,5.524051e-01,7.492903e-02
4,S.4,normal,-3.039845e+01,1.629929e+01,3.986298e+02,-7.050882e-01,-6.926105e-01,1.521228e-01
5,S.5,normal,1.777758e+02,1.286327e+02,4.259092e+02,4.896979e-02,-9.961596e-01,7.258163e-02
6,S.6,normal,1.719196e+02,1.529072e+02,4.072726e+02,8.134599e-01,2.254963e-01,-5.361291e-01
7,S.7,normal,1.713878e+02,1.470996e+02,4.535659e+02,5.399427e-01,-7.140825e-03,8.416715e-01
8,S.8,normal,1.766441e+02,1.890074e+02,4.353676e+02,8.798721e-01,1.802243e-01,4.397092e-01
9,S.9,normal,1.563527e+02,2.023554e+02,4.089622e+02,-5.680932e-01,-5.659404e-01,-5.974794e-01
10,S.10,normal,1.536080e+02,2.206545e+02,4.316882e+02,-4.607340e-01,-2.019171e-01,8.642648e-01
11,S.11,normal,2.171515e+02,1.921449e+02,3.899229e+02,9.069090e-01,4.167914e-01,-6.165098e-02
12,S.12,normal,1.965250e+02,1.826915e+02,3.727443e+02,-4.390859e-01,-3.490956e-01,-8.278502e-01
13,S.13,normal,2.207608e+02,2.212534e+02,4.340233e+02,3.202519e-01,4.480115e-01,-8.347002e-01
14,S.14,normal,1.864556e+02,2.167586e+02,4.628550e+02,-7.187442e-01,6.199271e-01,-3.147971e-01
15,S.15,normal,2.205873e+02,1.854987e+02,4.727984e+02,5.927465e-01,-4.770439e-02,8.039751e-01
16,S.16,normal,1.423257e+02,1.606726e+02,4.469223e+02,9.515277e-01,-2.314060e-01,2.025986e-01
17,S.17,normal,1.450697e+02,1.924079e+02,4.855916e+02,-1.464185e-01,7.975549e-01,5.852076e-01
18,S.18,normal,1.484646e+02,1.743966e+02,4.928964e+02,-8.749051e-02,-6.580502e-01,7.478739e-01
19,S.19,normal,2.230583e+00,1.506884e+02,4.339655e+02,-6.927883e-01,3.696500e-02,7.201930e-01
