gene_symbol,Length,EffectiveLength,TPM,NumReads,type
CDC42,2274,2025,1.402376,163.682,WT
CDC42,2256,2007,18.830643,2178.326,WT
CDC42,816,567,1.275095,41.671,WT
CDC42,1435,1186,0.860884,58.849,WT
CDC42,597,348,8.055595,161.58,WT
BRINP3,3128,2879,0.599037,99.404,WT
BRINP3,238,16.802,0,0,WT
BRINP3,528,279,0.583746,9.387,WT
OSR1,1906,1657,0.037888,3.619,WT
OSR1,4171,3922,0.019382,4.381,WT
OSR1,581,332,0.052258,1,WT
IDH1,2382,2133,9.412816,1157.233,WT
IDH1,2298,2049,0.099414,11.741,WT
IDH1,2441,2192,0,0,WT
IDH1,1044,795,1.279611,58.635,WT
IDH1,942,693,0.294732,11.773,WT
IDH1,1614,1365,0.985872,77.565,WT
IDH1,702,453,0,0,WT
IDH1,563,314,0,0,WT
IDH1,556,307,2.885265,51.055,WT
GLB1,2512,2263,0.281923,36.773,WT
GLB1,2523,2274,1.993332,261.264,WT
GLB1,2018,1769,0,0,WT
GLB1,816,567,1.481785,48.426,WT
GLB1,899,650,0.811573,30.405,WT
GLB1,517,268,0,0,WT
GLB1,577,328,0.183642,3.472,WT
GLB1,547,298,1.326844,22.79,WT
GLB1,550,301,0,0,WT
GLB1,319,70.21,0,0,WT
GLB1,257,23.433,1.480811,2,WT
GLB1,570,321,0.198335,3.67,WT
GLB1,591,342,0,0,WT
GLB1,631,382,1.230709,27.097,WT
GLB1,569,320,0,0,WT
GLB1,626,377,0,0,WT
GLB1,557,308,2.270049,40.299,WT
GLB1,540,291,0,0,WT
GLB1,558,309,0.292878,5.216,WT
PIK3CA,245,18.9,3.102706,3.38,WT
PIK3CA,9259,9010,1.588324,824.849,WT
PIK3CA,620,371,0.934258,19.978,WT
PIK3CA,746,497,2.5158,72.068,WT
PDGFRA,2202,1953,5.69975,641.606,WT
PDGFRA,2417,2168,7.486348,935.491,WT
PDGFRA,580,331,10.556759,201.404,WT
PDGFRA,6378,6129,100.984825,35674.349,WT
PDGFRA,2991,2742,2.031828,321.118,WT
PDGFRA,586,337,36.525389,709.472,WT
PDGFRA,771,522,4.055998,122.033,WT
PDGFRA,573,324,0,0,WT
PDGFRA,480,231,10.700731,142.474,WT
PDGFRA,1146,897,4.777023,246.979,WT
DCHS2,13354,13105,0,0,WT
DCHS2,5064,4815,0.016352,4.538,WT
DCHS2,857,608,0,0,WT
DCHS2,569,320,0,0,WT
DCHS2,2109,1860,0,0,WT
TERT,2422,2173,0,0,WT
TERT,4018,3769,0,0,WT
TERT,2992,2743,0,0,WT
TERT,3210,2961,0,0,WT
TERT,406,157,0.146397,1.325,WT
IRX1,2080,1831,0,0,WT
FOXD1,406,157,0.331521,3,WT
PCDHGA11,4787,4538,0,0,WT
PCDHGA11,2263,2014,0,0,WT
TOB2P1,992,743,0.350261,15,WT
MICA,1370,1121,1.775532,114.721,WT
MICA,1005,756,0,0,WT
BRD2,4956,4707,0.769369,208.732,WT
BRD2,735,486,0.589268,16.507,WT
BRD2,887,638,2.004984,73.73,WT
BRD2,718,469,0,0,WT
BRD2,547,298,0,0,WT
BRD2,4807,4558,0,0,WT
BRD2,550,301,0,0,WT
BRD2,3404,3155,0,0,WT
BRD2,4834,4585,1.907771,504.169,WT
BRD2,2338,2089,5.335823,642.466,WT
BRD2,3467,3218,0,0,WT
BRD2,3210,2961,0.660127,112.662,WT
BRD2,3210,2961,0.660127,112.662,WT
BRD2,1590,1341,1.839593,142.187,WT
BRD2,565,316,0,0,WT
BRD2,667,418,2.530237,60.96,WT
BRD2,946,697,4.138351,166.253,WT
BRD2,1628,1379,1.030789,81.93,WT
BRD2,759,510,9.516511,279.742,WT
EGFR,9905,9656,5.380325,2994.443,WT
EGFR,3844,3595,0.012794,2.651,WT
EGFR,2239,1990,0,0,WT
EGFR,5464,5215,0,0,WT
EGFR,2864,2615,0.088315,13.311,WT
EGFR,1570,1321,0.105635,8.043,WT
EGFR,452,203,0.299487,3.504,WT
EGFR,561,312,0.367347,6.606,WT
EGFR,691,442,0.698908,17.805,WT
EGFR,665,416,0.485282,11.636,WT
TRIM4,639,390,3.139727,70.578,WT
TRIM4,3383,3134,0,0,WT
TRIM4,3374,3125,4.099742,738.443,WT
TRIM4,1942,1693,0.749838,73.17,WT
TRIM4,601,352,2.208591,44.809,WT
EZH2,3641,3392,0.698238,136.512,WT
EZH2,2522,2273,0,0,WT
EZH2,2591,2342,0,0,WT
EZH2,2477,2228,0,0,WT
EZH2,2639,2390,0.28154,38.784,WT
EZH2,2572,2323,0.490648,65.695,WT
EZH2,2466,2217,0,0,WT
EZH2,414,165,1.189583,11.313,WT
EZH2,1876,1627,0.269539,25.277,WT
EZH2,1491,1242,0.271283,19.42,WT
ZFPM2,4961,4712,0.299511,81.345,WT
ZFPM2,3960,3711,0,0,WT
ZFPM2,594,345,0,0,WT
ZFPM2,574,325,0,0,WT
ZFPM2,1582,1333,0.07532,5.787,WT
ZFPM2,468,219,0,0,WT
ZFPM2,3300,3051,0,0,WT
ZFPM2,3312,3063,0.237153,41.868,WT
CDKN2A,1218,969,0,0,WT
CDKN2A,1283,1034,0,0,WT
CDKN2A,666,417,0,0,WT
CDKN2A,678,429,0.063478,1.57,WT
CDKN2A,748,499,0.049733,1.43,WT
CDKN2A,880,631,0,0,WT
CDKN2A,926,677,0,0,WT
CDKN2A,794,545,0,0,WT
CDKN2A,989,740,0,0,WT
CDKN2A,544,295,0,0,WT
CDKN2A,442,193,0,0,WT
CDKN2A,493,244,0,0,WT
CDKN2A,565,316,0,0,WT
CDKN2A,856,607,0,0,WT
ADARB2,8475,8226,0.027419,13,WT
ADARB2,1810,1561,0,0,WT
ADARB2,768,519,0,0,WT
ADARB2,599,350,0,0,WT
ADARB2,703,454,0,0,WT
ADARB2,683,434,0,0,WT
ADARB2,1741,1492,0.023257,2,WT
PTEN,8515,8266,2.460318,1172.187,WT
PTEN,477,228,1.141422,15,WT
PTEN,383,134,3.273948,25.286,WT
PTEN,554,305,3.415718,60.047,WT
PTEN,644,395,5.358627,122,WT
MGMT,1265,1016,0.119535,7,WT
MGMT,589,340,0,0,WT
MGMT,959,710,0,0,WT
MGMT,776,527,0,0,WT
ALG5,1219,970,3.144312,175.795,WT
ALG5,1119,870,0.231428,11.605,WT
ALG5,565,316,1.041535,18.97,WT
ALG5,687,438,0.204776,5.17,WT
ALG5,756,507,1.247655,36.46,WT
RB1,4793,4544,3.552877,930.527,WT
RB1,1490,1241,0.441626,31.589,WT
RB1,480,231,0,0,WT
RB1,617,368,0.148806,3.156,WT
RB1,658,409,0.960127,22.634,WT
RB1,1097,848,1.785212,87.256,WT
TP53,1018,769,0,0,WT
TP53,1152,903,0,0,WT
TP53,2331,2082,0,0,WT
TP53,2404,2155,0,0,WT
TP53,2271,2022,0.012789,1.49,WT
TP53,2579,2330,1.669207,224.17,WT
TP53,2580,2331,0,0,WT
TP53,2653,2404,0.010993,1.523,WT
TP53,2506,2257,0,0,WT
TP53,175,7.624,7.426063,3.263,WT
TP53,729,480,0,0,WT
TP53,546,297,0,0,WT
TP53,104,4.593,0,0,WT
TP53,1261,1012,0.245118,14.298,WT
TP53,634,385,0,0,WT
TP53,568,319,0,0,WT
TP53,565,316,0,0,WT
ATRX,11167,10918,0.437129,275.082,WT
ATRX,10218,9969,2.45033,1407.948,WT
ATRX,10455,10206,0,0,WT
ATRX,408,159,1.951129,17.881,WT
ATRX,814,565,0.78986,25.722,WT
ATRX,461,212,0.397886,4.862,WT
ATRX,2967,2718,1.449842,227.133,WT
CDC42,2274,2025,0.16733,30.501,WT
CDC42,2256,2007,14.376914,2597.372,WT
CDC42,816,567,0.756603,38.616,WT
CDC42,1435,1186,0.212631,22.7,WT
CDC42,597,348,7.879686,246.836,WT
BRINP3,3128,2879,0.191586,49.651,WT
BRINP3,238,16.802,0,0,WT
BRINP3,528,279,0.222154,5.579,WT
OSR1,1906,1657,0.052701,7.861,WT
OSR1,4171,3922,0.028719,10.139,WT
OSR1,581,332,0.033461,1,WT
IDH1,2382,2133,10.875514,2088.151,WT
IDH1,2298,2049,0.073331,13.525,WT
IDH1,2441,2192,0.976923,192.762,WT
IDH1,1044,795,0.796968,57.033,WT
IDH1,942,693,1.518402,94.72,WT
IDH1,1614,1365,1.238056,152.123,WT
IDH1,702,453,0.117032,4.772,WT
IDH1,563,314,0,0,WT
IDH1,556,307,2.204216,60.914,WT
GLB1,2512,2263,0.29813,60.731,WT
GLB1,2523,2274,0.521987,106.849,WT
GLB1,2018,1769,1.486234,236.666,WT
GLB1,816,567,1.33298,68.034,WT
GLB1,899,650,0.564105,33.006,WT
GLB1,517,268,1.097784,26.483,WT
GLB1,577,328,0.264551,7.811,WT
GLB1,547,298,0.499522,13.4,WT
GLB1,550,301,0,0,WT
GLB1,319,70.21,0.226952,1.434,WT
GLB1,257,23.433,1.896351,4,WT
GLB1,570,321,0.054228,1.567,WT
GLB1,591,342,1.052299,32.396,WT
GLB1,631,382,0.510752,17.563,WT
GLB1,569,320,2.332029,67.175,WT
GLB1,626,377,0,0,WT
GLB1,557,308,3.19694,88.635,WT
GLB1,540,291,0.408251,10.694,WT
GLB1,558,309,0,0,WT
PIK3CA,245,18.9,0,0,WT
PIK3CA,9259,9010,1.423963,1154.901,WT
PIK3CA,620,371,0.464364,15.508,WT
PIK3CA,746,497,2.118985,94.799,WT
PDGFRA,2202,1953,0.460235,80.91,WT
PDGFRA,2417,2168,0.699495,136.51,WT
PDGFRA,580,331,0.595794,17.752,WT
PDGFRA,6378,6129,8.135734,4488.565,WT
PDGFRA,2991,2742,0.185901,45.885,WT
PDGFRA,586,337,3.590249,108.912,WT
PDGFRA,771,522,0.32921,15.469,WT
PDGFRA,573,324,0,0,WT
PDGFRA,480,231,0.956063,19.88,WT
PDGFRA,1146,897,0.447914,36.167,WT
DCHS2,13354,13105,0.370834,437.459,WT
DCHS2,5064,4815,0.030849,13.371,WT
DCHS2,857,608,0,0,WT
DCHS2,569,320,0,0,WT
DCHS2,2109,1860,0,0,WT
TERT,2422,2173,0,0,WT
TERT,4018,3769,0,0,WT
TERT,2992,2743,0,0,WT
TERT,3210,2961,0.015007,4,WT
TERT,406,157,0,0,WT
IRX1,2080,1831,0.006067,1,WT
FOXD1,406,157,0.283034,4,WT
PCDHGA11,4787,4538,0,0,WT
PCDHGA11,2263,2014,0,0,WT
TOB2P1,992,743,0.164468,11,WT
MICA,1370,1121,0.476627,48.096,WT
MICA,1005,756,0,0,WT
BRD2,4956,4707,0.666467,282.386,WT
BRD2,735,486,0.244971,10.717,WT
BRD2,887,638,2.723388,156.405,WT
BRD2,718,469,0,0,WT
BRD2,547,298,0,0,WT
BRD2,4807,4558,0,0,WT
BRD2,550,301,0,0,WT
BRD2,3404,3155,0.019907,5.654,WT
BRD2,4834,4585,1.550653,639.993,WT
BRD2,2338,2089,2.994202,563.042,WT
BRD2,3467,3218,0.138231,40.042,WT
BRD2,3210,2961,0,0,WT
BRD2,3210,2961,0,0,WT
BRD2,1590,1341,1.163185,140.41,WT
BRD2,565,316,0.76968,21.894,WT
BRD2,667,418,1.68782,63.507,WT
BRD2,946,697,2.893322,181.531,WT
BRD2,1628,1379,1.257255,156.066,WT
BRD2,759,510,6.324624,290.353,WT
EGFR,9905,9656,47.90109,41635.504,WT
EGFR,3844,3595,0.283308,91.681,WT
EGFR,2239,1990,0.046341,8.301,WT
EGFR,5464,5215,0,0,WT
EGFR,2864,2615,1.02786,241.951,WT
EGFR,1570,1321,1.08823,129.403,WT
EGFR,452,203,6.948816,126.978,WT
EGFR,561,312,4.454392,125.102,WT
EGFR,691,442,4.825769,192.004,WT
EGFR,665,416,5.182739,194.077,WT
TRIM4,639,390,2.20709,77.483,WT
TRIM4,3383,3134,0.055346,15.614,WT
TRIM4,3374,3125,2.10424,591.925,WT
TRIM4,1942,1693,0.864139,131.693,WT
TRIM4,601,352,0.924259,29.286,WT
EZH2,3641,3392,0.402712,122.962,WT
EZH2,2522,2273,0,0,WT
EZH2,2591,2342,0.486398,102.541,WT
EZH2,2477,2228,0,0,WT
EZH2,2639,2390,0,0,WT
EZH2,2572,2323,0.250518,52.385,WT
EZH2,2466,2217,0,0,WT
EZH2,414,165,0.933819,13.87,WT
EZH2,1876,1627,0.089365,13.088,WT
EZH2,1491,1242,0.207094,23.153,WT
ZFPM2,4961,4712,0.272576,115.615,WT
ZFPM2,3960,3711,0,0,WT
ZFPM2,594,345,0.577139,17.923,WT
ZFPM2,574,325,0.05939,1.737,WT
ZFPM2,1582,1333,0.047905,5.748,WT
ZFPM2,468,219,0.654352,12.9,WT
ZFPM2,3300,3051,0,0,WT
ZFPM2,3312,3063,0.130801,36.065,WT
CDKN2A,1218,969,0.018338,1.6,WT
CDKN2A,1283,1034,0,0,WT
CDKN2A,666,417,0,0,WT
CDKN2A,678,429,0.079806,3.082,WT
CDKN2A,748,499,0,0,WT
CDKN2A,880,631,0,0,WT
CDKN2A,926,677,0,0,WT
CDKN2A,794,545,0.047261,2.319,WT
CDKN2A,989,740,0,0,WT
CDKN2A,544,295,0,0,WT
CDKN2A,442,193,0,0,WT
CDKN2A,493,244,0,0,WT
CDKN2A,565,316,0.035155,1,WT
CDKN2A,856,607,0.10981,6,WT
ADARB2,8475,8226,0.054286,40.198,WT
ADARB2,1810,1561,0,0,WT
ADARB2,768,519,0.112014,5.233,WT
ADARB2,599,350,0,0,WT
ADARB2,703,454,0,0,WT
ADARB2,683,434,0,0,WT
ADARB2,1741,1492,0.21272,28.569,WT
PTEN,8515,8266,3.398031,2528.389,WT
PTEN,477,228,2.095137,43,WT
PTEN,383,134,5.162064,62.266,WT
PTEN,554,305,5.160732,141.688,WT
PTEN,644,395,6.859675,243.906,WT
MGMT,1265,1016,0.512231,46.847,WT
MGMT,589,340,0,0,WT
